Artist,Listeners,Peak,Peak_Listeners
Paresh Kamath,"6,503,205",1758,"6,503,205"
Lauren Spencer Smith,"6,498,777",904,"9,427,721"
Los Gemelos De Sinaloa,"6,493,826",1584,"6,493,826"
Mc Ster,"6,488,901",1745,"6,583,312"
Social House,"6,487,509",1176,"7,251,232"
BYOR,"6,483,718",740,"9,642,087"
Stone Temple Pilots,"6,480,685",1371,"6,880,970"
88rising,"6,467,418",1034,"7,606,297"
The Blessed Madonna,"6,467,235",973,"9,987,172"
Janieck,"6,465,873",1453,"7,518,019"
"Dream, Ivory","6,457,597",1514,"7,391,972"
FKJ,"6,456,609",1072,"9,015,890"
The Cars,"6,454,505",1109,"8,188,185"
Hugh Jackman,"6,446,079",1464,"7,362,541"
K. J. Yesudas,"6,442,684",1672,"6,790,414"
Dedublüman,"6,439,723",1705,"6,676,227"
Los Invasores De Nuevo León,"6,439,378",1591,"7,172,669"
Valentín Elizalde,"6,431,873",1509,"6,905,596"
Virlan Garcia,"6,428,874",1332,"7,464,163"
Bappi Lahiri,"6,427,093",1767,"6,427,093"
Plain White T's,"6,425,264",1345,"7,291,118"
La Roux,"6,421,946",1364,"7,924,091"
Five Finger Death Punch,"6,421,644",1192,"7,365,100"
$werve,"6,415,382",1781,"6,415,382"
Ari Abdul,"6,415,330",1635,"6,463,505"
Sanjay Leela Bhansali,"6,410,814",1234,"7,529,143"
Lalo Ebratt,"6,409,096",1289,"6,848,168"
Joe Jonas,"6,407,381",1530,"7,441,622"
Phantogram,"6,400,842",1252,"6,704,724"
Young the Giant,"6,399,266",1181,"8,031,927"
Sam Fender,"6,395,221",1038,"9,077,301"
The Vamps,"6,394,915",871,"8,853,137"
Mamta Sharma,"6,393,068",1790,"6,393,068"
Quality Control,"6,392,031",1305,"6,462,956"
Hippie Sabotage,"6,391,353",1217,"7,555,529"
La Receta,"6,389,304",1481,"7,558,577"
Simply Red,"6,387,618",1488,"6,979,913"
Blxst,"6,382,397",771,"9,488,271"
The Wanted,"6,381,675",1178,"7,824,686"
LP,"6,376,574",1429,"7,016,850"
Alexandra Stan,"6,373,303",1465,"7,102,127"
Phoenix,"6,372,320",1477,"7,152,731"
Ashanti,"6,372,082",1326,"7,566,417"
Good Charlotte,"6,371,775",1549,"6,990,936"
Pink Sweat$,"6,368,532",696,"10,134,814"
Gigamesh,"6,366,997",1478,"7,157,637"
MC Kevinho,"6,366,396",1563,"6,588,425"
Alexis y Fido,"6,365,545",1197,"8,909,993"
Jessie Reyez,"6,364,316",241,"21,763,207"
Omar Montes,"6,363,043",853,"11,031,583"
El Chapo De Sinaloa,"6,356,241",1295,"7,980,278"
Sfera Ebbasta,"6,355,292",703,"11,111,971"
Perera DJ,"6,355,205",1300,"7,623,352"
Kapil Kapilan,"6,354,929",1677,"6,734,014"
Fonseca,"6,354,025",1363,"6,757,897"
Yebba,"6,351,784",1362,"7,328,580"
Nacho,"6,351,319",1460,"6,351,319"
Sam Hunt,"6,349,647",770,"10,404,841"
Remmy Valenzuela,"6,348,826",1804,"6,354,082"
Rob Zombie,"6,347,671",1495,"7,375,209"
Deep Purple,"6,347,539",1331,"6,953,828"
Eric Prydz,"6,337,825",1204,"8,587,163"
Jaxomy,"6,335,324",462,"16,960,632"
ACRAZE,"6,330,793",577,"11,380,380"
Shalmali Kholgade,"6,324,004",1618,"6,582,348"
YG Marley,"6,321,220",302,"20,937,982"
Mabel,"6,315,008",749,"9,481,688"
Hardwell,"6,314,097",1070,"7,807,224"
The La Planta,"6,313,481",1341,"7,943,930"
Los Cadetes De Linares,"6,302,384",1395,"7,995,798"
Tayc,"6,297,554",948,"10,101,485"
Dylan Scott,"6,296,381",1262,"8,124,241"
Alice Deejay,"6,294,281",1802,"6,344,185"
Espinoza Paz,"6,291,326",1831,"6,291,326"
Pantera,"6,290,563",1525,"6,715,515"
Hillsong Worship,"6,288,218",1546,"6,365,094"
The Emotions,"6,286,021",1213,"8,888,514"
Gnarls Barkley,"6,285,554",784,"10,449,273"
James Carter,"6,282,145",582,"11,924,918"
Paul Russell,"6,280,175",546,"13,872,224"
Hesham Abdul Wahab,"6,279,515",1387,"6,880,506"
Woodkid,"6,278,311",1322,"8,261,291"
Inner Circle,"6,276,133",1524,"7,111,103"
Brando,"6,275,632",1124,"8,484,693"
Grupo Revelação,"6,273,515",1568,"7,266,853"
Carpenters,"6,273,488",428,"17,864,695"
Umair,"6,262,114",1844,"6,262,114"
Frankie Valli & The Four Seasons,"6,260,181",1112,"8,115,571"
808iuli,"6,258,190",1317,"8,109,616"
Delacruz,"6,255,386",1446,"7,499,284"
Lauren Daigle,"6,250,597",1330,"7,416,297"
Beck,"6,248,888",1214,"7,510,815"
Kavita Seth,"6,246,114",1046,"8,494,449"
Dudy Oris,"6,245,522",1116,"9,199,936"
ATB,"6,245,264",1355,"7,310,007"
TrapLaudo,"6,243,607",965,"9,678,797"
Tz da Coronel,"6,240,159",1026,"9,245,497"
Darius Rucker,"6,239,767",1070,"8,817,451"
DJ FKU,"6,235,654",951,"9,963,180"
Zoe Wees,"6,233,967",1130,"8,361,402"
Agatino Romero,"6,233,905",510,"16,015,046"
Savage Garden,"6,231,715",1487,"7,420,872"
The Ronettes,"6,230,440",68,"48,233,638"
Mufasa & Hypeman,"6,230,145",1417,"6,778,711"
Jacquees,"6,226,770",1629,"6,226,770"
Kenny Chesney,"6,224,829",880,"9,743,331"
Javed Akhtar,"6,223,291",1686,"6,562,942"
Marisela,"6,222,598",1353,"7,870,024"
Creeds,"6,218,052",963,"9,915,553"
The Magician,"6,197,068",1448,"7,448,360"
Sheila On 7,"6,194,962",1589,"6,675,547"
BANNERS,"6,192,524",1183,"7,381,611"
AUR,"6,192,340",1002,"9,236,114"
Marta Sánchez,"6,191,132",1399,"6,769,023"
Sofi Tukker,"6,189,829",972,"8,283,427"
Yot Club,"6,188,091",1106,"8,234,421"
Claude Debussy,"6,187,641",1500,"6,362,621"
Vaundy,"6,187,161",1729,"6,264,726"
Genesis,"6,185,920",1096,"7,961,011"
Panter Bélico,"6,185,655",1123,"8,452,106"
Nightcrawlers,"6,182,786",1172,"7,556,620"
Léo Santana,"6,182,142",489,"12,793,052"
Uzielito Mix,"6,180,293",705,"11,822,681"
Mc Kevin,"6,176,386",1418,"7,305,038"
Zack Tabudlo,"6,175,199",993,"8,641,464"
Amaarae,"6,170,956",905,"10,695,192"
Up Dharma Down,"6,169,763",1861,"6,169,763"
Joe Cocker,"6,166,762",1364,"7,150,193"
Jay Trak,"6,164,532",1567,"7,243,756"
Cordae,"6,163,899",689,"11,325,024"
Corinne Bailey Rae,"6,163,783",1356,"7,519,222"
Betsy,"6,161,102",1786,"6,483,630"
Prezioso,"6,150,926",1189,"8,128,818"
Mansheel Gujral,"6,150,579",1887,"6,150,579"
Super Yei,"6,150,064",1886,"6,150,064"
MC Bruno MS,"6,146,332",1888,"6,161,220"
Murillo e LT no Beat,"6,145,457",975,"9,628,998"
Apache 207,"6,144,552",1239,"7,326,619"
TOKYOPHILE,"6,142,110",1884,"6,161,356"
Código FN,"6,142,090",1032,"9,044,494"
Neto Peña,"6,141,190",1524,"6,734,799"
GORDÃO DO PC,"6,138,835",1746,"6,138,835"
Ami Mishra,"6,131,415",1900,"6,131,415"
Clarent,"6,123,447",1725,"6,567,129"
Olivia Dean,"6,123,112",1902,"6,123,112"
Cup of Joe,"6,121,223",1896,"6,121,223"
Victony,"6,113,558",1453,"7,362,836"
Blood Orange,"6,110,037",1840,"6,110,037"
Shraddha Kapoor,"6,108,088",1906,"6,108,088"
Maki,"6,106,937",1387,"7,572,344"
Ginuwine,"6,101,576",1343,"6,744,656"
Ovi,"6,100,780",1106,"7,391,087"
reidenshi,"6,087,740",1416,"7,227,969"
Carly Simon,"6,086,190",1483,"7,016,910"
The Calling,"6,085,930",1324,"7,767,851"
Ricchi E Poveri,"6,085,422",1199,"8,252,737"
Tom Rosenthal,"6,084,736",1288,"6,768,536"
Antonio Vivaldi,"6,084,315",1549,"7,064,842"
Mckyyy,"6,077,170",1439,"7,738,369"
Ed Maverick,"6,076,739",1492,"6,811,162"
Billy Ocean,"6,076,093",1497,"7,084,011"
New Order,"6,072,824",1257,"6,523,858"
Valentino Merlo,"6,070,480",1185,"8,827,569"
sped up nightcore,"6,068,935",300,"17,931,530"
Vanessa Carlton,"6,060,139",1662,"6,386,682"
The Greatest Showman Ensemble,"6,057,349",1685,"6,555,205"
JACKBOYS,"6,056,815",1269,"6,876,798"
Cameron Whitcomb,"6,056,632",1925,"6,056,632"
Sameer Anjaan,"6,055,288",1473,"7,578,832"
Polaris,"6,053,911",1613,"6,832,833"
M. M. Keeravaani,"6,052,779",1058,"7,564,940"
Michael Kiwanuka,"6,050,690",1648,"6,813,769"
Tippu,"6,050,569",1904,"6,050,569"
Lil Jon,"6,049,880",1172,"8,330,806"
Katrina & The Waves,"6,045,927",1249,"7,316,639"
Aaron Smith,"6,042,180",1338,"7,694,455"
Bonn,"6,037,790",1544,"7,009,704"
Route 94,"6,037,008",1935,"6,037,008"
Liana Flores,"6,036,202",1579,"7,088,216"
Koe Wetzel,"6,030,316",1236,"8,269,844"
GAMPER & DADONI,"6,030,078",1142,"7,881,698"
Damiano David,"6,029,343",1939,"6,029,343"
Dallass,"6,029,186",1249,"6,890,974"
Chuyin,"6,027,762",1941,"6,027,762"
LeAnn Rimes,"6,017,432",1942,"6,017,432"
Vengaboys,"6,014,942",1790,"6,432,951"
Maelo Ruiz,"6,014,164",1842,"6,338,387"
Redbone,"6,011,826",647,"13,735,798"
Tiakola,"6,010,595",1230,"7,581,179"
DG e Batidão Stronda,"6,008,993",1737,"6,655,448"
Krono,"6,008,987",1333,"7,709,849"
Chandra Bose,"6,005,051",1667,"6,916,084"
MC LONE,"6,002,827",1774,"6,554,547"
DJ Guh Mix,"6,001,631",1861,"6,275,757"
Sezen Aksu,"6,001,231",1730,"6,132,087"
Boy Wonder CF,"5,998,956",1708,"6,342,253"
Big Thief,"5,998,394",1845,"6,045,726"
Dwayne Johnson,"5,995,784",1805,"6,368,015"
RADWIMPS,"5,995,516",1315,"6,704,898"
Scythermane,"5,992,579",1957,"5,992,579"
Travie McCoy,"5,992,146",1073,"9,499,530"
DJ WN,"5,991,300",1039,"9,562,172"
Parmish Verma,"5,990,554",1156,"7,896,722"
JR Torres,"5,989,605",1961,"5,989,605"
Massive Attack,"5,989,532",1962,"5,989,532"
Lifehouse,"5,977,865",1770,"5,989,100"
Pixote,"5,975,516",1619,"7,050,851"
Ana Bárbara,"5,974,107",1387,"6,206,311"
The Alchemist,"5,971,310",1120,"7,310,016"
Stealers Wheel,"5,971,123",1275,"8,007,464"
Adie,"5,970,729",1892,"5,970,729"
SDM,"5,970,298",1760,"6,412,469"
Sara Bareilles,"5,966,062",1397,"6,548,202"
Carlos Baute,"5,965,807",1183,"7,658,070"
Miranda Lambert,"5,963,533",847,"9,945,780"
Axwell,"5,959,057",1758,"6,309,246"
Extreme,"5,954,436",1696,"5,954,436"
Matt Maltese,"5,946,038",1189,"8,240,255"
Steely Dan,"5,941,455",1488,"6,420,590"
John Williams,"5,940,479",101,"39,541,089"
Dean Martin,"5,939,260",35,"61,464,079"
Pierce The Veil,"5,938,811",1629,"6,025,555"
Seventeen,"5,938,043",1167,"8,279,783"
Damian Marley,"5,935,783",1499,"6,909,318"
NBSPLV,"5,935,072",1258,"7,406,470"
Michael Giacchino,"5,934,414",1616,"6,418,207"
DJ Miller Oficial,"5,932,503",1984,"5,932,503"
Ben&Ben,"5,931,006",1694,"6,133,370"
SEVENTEEN,"5,929,859",889,"9,240,435"
Yeri Mua,"5,924,466",853,"10,520,428"
THE BOX,"5,919,858",1472,"7,305,421"
Jay R,"5,917,245",1249,"8,465,625"
Semicenk,"5,916,580",1480,"7,457,080"
SNAP!,"5,916,254",1863,"6,246,274"
Los Socios Del Ritmo,"5,914,616",1585,"7,213,939"
Libianca,"5,911,257",254,"21,800,126"
Cavetown,"5,911,217",1114,"7,192,919"
Simran Choudhary,"5,911,043",1073,"9,495,117"
Nuzio Medeiros,"5,908,372",1974,"5,924,412"
Mr. Belt & Wezol,"5,905,309",1010,"9,705,318"
Kevin AMF,"5,901,867",1091,"9,415,420"
Hal,"5,901,187",1834,"6,346,840"
HYBS,"5,896,895",1346,"7,654,400"
ANAVITÓRIA,"5,895,394",1953,"6,023,331"
Marnik,"5,893,742",1072,"9,016,102"
Dimension Latina,"5,893,261",1806,"6,184,690"
SLANDER,"5,888,468",1001,"8,719,324"
Estelle,"5,885,583",1713,"6,457,120"
Varun Grover,"5,883,521",2002,"5,883,521"
Batas Senja,"5,883,363",1737,"6,060,398"
Max McNown,"5,882,697",1580,"7,246,717"
La Santa Grifa,"5,880,065",1928,"5,880,065"
Rainbow Kitten Surprise,"5,874,085",1093,"8,812,010"
MC Davo,"5,874,050",1650,"6,251,929"
La Mosca,"5,866,760",1708,"6,319,822"
V,"5,865,636",558,"13,087,990"
Jerry Rivera,"5,865,176",1827,"6,317,804"
Why Don't We,"5,864,609",881,"9,309,552"
Gloria Estefan,"5,863,675",1163,"7,479,364"
Corona,"5,862,518",1880,"6,242,321"
CNCO,"5,856,548",901,"8,273,953"
N.W.A.,"5,851,284",1558,"6,177,972"
Cookin' On 3 Burners,"5,849,931",1181,"8,728,038"
Tinlicker,"5,848,148",1111,"8,679,222"
Los Plebes del Rancho de Ariel Camacho,"5,846,659",1687,"5,951,769"
Elefante,"5,846,522",1825,"5,860,088"
Supermode,"5,846,389",1426,"7,281,367"
Sleeping At Last,"5,845,124",1144,"7,891,847"
Budi Doremi,"5,836,678",1508,"6,312,262"
