Artist,Listeners,Peak,Peak_Listeners
Donna Summer,"5,520,521",1577,"6,062,032"
Payung Teduh,"5,516,089",2097,"5,716,532"
Pat Benatar,"5,515,119",1673,"5,988,067"
Rich The Kid,"5,511,085",130,"32,410,422"
KSI,"5,503,211",743,"12,222,576"
The Hollies,"5,501,643",1397,"7,439,225"
Sam C.S.,"5,501,253",1398,"6,852,244"
adore,"5,500,829",2142,"5,504,947"
Bethel Music,"5,498,815",2122,"5,498,815"
Kevin Gates,"5,492,001",1347,"6,599,566"
Meiska,"5,491,510",2020,"5,702,234"
Sash!,"5,488,895",1089,"8,199,995"
Suara Kayu,"5,488,108",1870,"6,130,980"
Kristen Bell,"5,485,682",1519,"7,508,214"
MC Torugo,"5,484,986",2156,"5,484,986"
Sofía Reyes,"5,482,952",607,"12,276,010"
Gur Sidhu,"5,478,417",1701,"6,032,957"
Savi Kahlon,"5,478,131",1617,"6,805,382"
Bryan Martin,"5,474,051",1429,"7,392,550"
Cypress Hill,"5,467,028",1349,"6,986,666"
Mandy Moore,"5,460,396",1803,"5,460,396"
sped up + slowed,"5,452,520",640,"11,797,289"
Nicky Romero,"5,451,939",1565,"6,125,301"
Dabzee,"5,449,641",1603,"6,697,619"
CamelPhat,"5,447,585",1512,"7,035,062"
GROUPLOVE,"5,444,856",1096,"9,113,568"
Kaique e Felipe,"5,441,467",1293,"8,484,988"
Chalino Sanchez,"5,440,941",1929,"6,115,414"
twocolors,"5,437,941",1370,"6,983,839"
Rich Amiri,"5,434,431",676,"12,434,212"
Geisha,"5,434,139",1150,"8,290,047"
Sido,"5,430,948",1427,"6,293,463"
Djonga,"5,430,808",1376,"7,011,516"
BLOND:ISH,"5,429,774",2160,"5,440,352"
Travis Barker,"5,426,180",855,"9,472,692"
T3R Elemento,"5,426,097",1787,"6,223,831"
Chord Overstreet,"5,421,523",1615,"5,835,877"
LONOWN,"5,421,191",2164,"5,421,191"
Joaquin Medina,"5,419,433",847,"10,467,574"
Guilherme & Santiago,"5,418,036",1704,"6,755,912"
Alex Ubago,"5,414,675",1399,"7,668,561"
Faouzia,"5,414,494",2183,"5,414,494"
Ranjith Govind,"5,412,225",2101,"5,442,134"
Kamal Khan,"5,409,679",2185,"5,409,679"
Niska,"5,405,000",1740,"6,021,632"
Borges,"5,400,548",914,"9,916,820"
Rob49,"5,397,809",1122,"8,014,400"
Tom Jones,"5,396,579",1479,"7,112,709"
"Grover Washington, Jr.","5,395,716",1459,"6,401,046"
Los Auténticos Decadentes,"5,395,162",1292,"6,390,639"
Kris R.,"5,390,719",2192,"5,390,719"
Matt Hansen,"5,389,697",1534,"6,819,799"
Tyler Braden,"5,389,447",2094,"5,600,878"
The Kinks,"5,387,605",1256,"7,654,624"
Spandau Ballet,"5,384,765",2188,"5,384,765"
The xx,"5,382,251",1504,"6,475,459"
J Abecia,"5,376,173",1642,"7,005,775"
Ramones,"5,374,160",1270,"7,387,634"
Blu Cantrell,"5,372,993",2012,"5,744,181"
Hamsika Iyer,"5,363,979",1936,"5,921,442"
Revol,"5,358,408",2041,"5,542,463"
LeeHi,"5,353,229",2147,"5,563,985"
Puddle Of Mudd,"5,351,209",2187,"5,351,209"
Steve Angello,"5,350,168",2024,"5,619,561"
Edicion Especial,"5,349,807",2206,"5,349,807"
INTERWORLD,"5,349,449",711,"10,809,092"
DJ JOAO DA INESTAN,"5,348,164",1366,"7,615,635"
Ely Oaks,"5,343,370",2209,"5,343,370"
George Henrique & Rodrigo,"5,343,075",1024,"9,297,307"
Öwnboss,"5,337,641",1064,"7,477,810"
ZICO,"5,335,995",901,"10,534,342"
Geolier,"5,335,659",1238,"7,983,824"
Dr. Dog,"5,331,374",1953,"5,759,566"
Tribbs,"5,330,317",1021,"9,550,305"
Wu-Tang Clan,"5,329,684",1419,"6,402,931"
A Touch Of Class,"5,328,704",1445,"6,716,045"
CERES,"5,327,226",1240,"8,277,134"
Dewa,"5,324,860",1800,"5,812,937"
Grupo Bryndis,"5,324,362",2170,"5,332,276"
Staind,"5,323,869",1933,"5,677,560"
Lazza,"5,320,781",1083,"7,325,144"
Vivek,"5,320,659",2069,"5,665,736"
Belo,"5,317,056",1923,"6,147,370"
JT,"5,307,765",1300,"7,283,189"
Mc Laranjinha,"5,304,626",1178,"8,501,085"
Ivy Queen,"5,303,684",1120,"8,638,673"
Erik Satie,"5,302,471",1832,"5,685,950"
Anvita Dutt Guptan,"5,298,909",1844,"6,171,071"
Judika,"5,298,499",1891,"6,132,623"
Mxrci,"5,297,995",1501,"7,112,029"
Astrid S,"5,297,337",1034,"8,152,622"
Kenny Dope,"5,297,129",1290,"8,039,146"
Zeeba,"5,293,017",1860,"5,744,264"
Don Henley,"5,289,762",1657,"6,129,075"
Kah-Lo,"5,288,584",1993,"5,772,297"
Trinix,"5,272,656",1270,"7,795,002"
Bipolar Sunshine,"5,272,563",2238,"5,272,563"
Los Fabulosos Cadillacs,"5,271,980",1550,"6,717,181"
Slowboy,"5,271,266",1383,"6,864,811"
Jet,"5,269,922",1229,"8,538,549"
Grupo Mojado,"5,269,779",1874,"6,013,196"
Chelsea Cutler,"5,268,371",968,"8,088,113"
Yura Yunita,"5,267,866",1377,"7,417,535"
Wajid,"5,264,711",2245,"5,264,711"
Bread,"5,262,857",1915,"5,854,332"
House Of Pain,"5,262,766",1872,"5,938,385"
Alex Gaudino,"5,259,437",1832,"5,941,546"
Marca MP,"5,259,079",936,"8,788,069"
Chitãozinho & Xororó,"5,258,861",1611,"6,439,152"
Madan Mohan,"5,256,587",1869,"5,903,897"
IV Of Spades,"5,256,540",1926,"6,071,006"
Jaden Bojsen,"5,253,726",2247,"5,253,726"
Bausa,"5,250,650",1624,"6,657,503"
Pinkfong,"5,249,164",2050,"5,654,258"
MC Xangai,"5,247,818",2146,"5,546,258"
Pinegrove,"5,245,663",2112,"5,376,037"
Humberto & Ronaldo,"5,243,838",893,"10,581,548"
Flowdan,"5,241,553",1368,"7,166,871"
DJ ALEX,"5,239,771",2260,"5,239,771"
Marracash,"5,238,860",1841,"5,579,054"
t.A.T.u.,"5,238,311",1884,"5,330,975"
Berlin,"5,237,023",1399,"7,621,746"
Kid Rock,"5,231,833",1249,"8,198,155"
Isaiah Rashad,"5,228,233",1990,"5,469,325"
Victor Cibrian,"5,226,603",1592,"6,736,594"
Lary Over,"5,221,933",1925,"5,639,719"
Eiffel 65,"5,219,746",1586,"5,725,560"
Isadora Pompeo,"5,217,922",1558,"6,605,248"
Surfaces,"5,215,187",1043,"8,336,270"
Westlife,"5,212,654",1466,"5,880,391"
Barry White,"5,207,274",2101,"5,615,190"
Gurpreet Saini,"5,203,053",1396,"7,646,627"
Yuri,"5,202,661",1242,"8,653,047"
Herencia De Grandes,"5,200,220",2268,"5,206,328"
Edwin Luna y La Trakalosa de Monterrey,"5,197,327",1751,"6,013,537"
Dani Flow,"5,196,332",477,"16,155,643"
Rampa,"5,193,489",2278,"5,193,489"
Pesado,"5,190,833",1156,"8,165,012"
deadmau5,"5,188,940",1302,"6,583,562"
Chris Grey,"5,184,541",2164,"5,345,274"
Jamie Foxx,"5,178,169",1751,"5,602,271"
Mc Magrinho,"5,170,420",1288,"7,681,537"
Monica,"5,169,245",1037,"9,499,309"
Josh Turner,"5,164,341",1778,"6,028,032"
Helsloot,"5,164,215",1299,"8,096,449"
Talha Anjum,"5,161,731",2287,"5,161,731"
Los Abuelos De La Nada,"5,158,009",1992,"5,731,290"
Orange & Lemons,"5,157,063",2245,"5,294,602"
Cristiano Araújo,"5,156,534",2235,"5,156,534"
MC GH do 7,"5,155,664",932,"9,797,437"
Lil Jon & The East Side Boyz,"5,154,619",1705,"6,180,160"
Shefali Alvares,"5,154,105",2259,"5,185,907"
Justine Skye,"5,152,976",539,"11,860,302"
Harish Raghavendra,"5,150,974",2254,"5,150,974"
Andra & The Backbone,"5,150,706",2052,"5,390,159"
Maddix,"5,148,365",1829,"5,961,919"
Sir Mix-A-Lot,"5,144,306",2289,"5,144,306"
José Luis Perales,"5,144,105",2038,"5,873,226"
Celeste,"5,141,936",2159,"5,422,522"
W Sound,"5,139,840",1271,"8,353,500"
Aleyna Tilki,"5,137,884",2270,"5,175,938"
"Sergio Vega ""El Shaka""","5,137,231",2303,"5,137,231"
Fools Garden,"5,136,890",2084,"5,537,673"
CJ,"5,133,178",1576,"6,122,202"
Nadhif Basalamah,"5,131,554",1084,"8,605,313"
Huey Lewis & The News,"5,130,285",1624,"6,595,981"
Dubdogz,"5,128,765",1538,"5,919,508"
Ghea Indrawari,"5,128,749",886,"9,641,695"
Mobb Deep,"5,128,084",1719,"5,543,630"
RSCL,"5,126,223",1522,"7,225,063"
Maite Perroni,"5,117,365",1175,"6,883,353"
G.A,"5,117,334",2240,"5,254,583"
Diego Verdaguer,"5,116,464",1906,"5,396,332"
Philharmonia Orchestra,"5,116,368",2307,"5,150,214"
Sertab Erener,"5,112,509",2146,"5,597,367"
Adriel Favela,"5,111,932",1218,"7,170,042"
Akhil,"5,108,318",1079,"8,166,073"
December Avenue,"5,107,299",2319,"5,107,299"
Dopamine,"5,106,589",1410,"6,442,156"
KXLLSWXTCH,"5,102,615",1131,"8,002,307"
Jordin Sparks,"5,102,136",1761,"6,372,667"
El Jordan 23,"5,097,510",777,"11,031,020"
Fidel Rueda,"5,097,004",2324,"5,097,004"
King Gnu,"5,095,966",1504,"6,715,161"
Bone Thugs-N-Harmony,"5,095,856",1254,"6,586,218"
Trap Capos,"5,093,852",2173,"5,381,450"
Sinéad O'Connor,"5,092,825",939,"9,208,047"
Era7capone,"5,092,697",2329,"5,172,709"
Mike WiLL Made-It,"5,092,191",1118,"8,130,359"
Tarcísio do Acordeon,"5,092,082",1294,"7,270,029"
Aleks Syntek,"5,091,604",2010,"5,091,604"
Jex,"5,089,598",2259,"5,198,941"
Pooh Shiesty,"5,088,627",1878,"5,476,128"
Kavinsky,"5,087,975",1782,"6,278,709"
OHGEESY,"5,085,871",1635,"6,556,038"
Sérgio Mendes,"5,085,126",1937,"5,781,366"
Mc Pretchako,"5,084,574",846,"10,888,156"
Pailita,"5,084,519",585,"11,280,046"
Paul Anka,"5,083,980",2026,"5,738,470"
S.P. Charan,"5,083,795",2139,"5,113,582"
Dr. Alban,"5,083,081",2093,"5,689,499"
Dulce María,"5,082,981",1191,"6,809,255"
Buffalo Springfield,"5,081,254",681,"13,151,503"
Björn Skifs,"5,079,838",1809,"5,970,638"
NATHY PELUSO,"5,079,069",1341,"7,298,986"
Original Broadway Cast of Hamilton,"5,077,983",2347,"5,077,983"
Kunal Ganjawala,"5,077,097",2302,"5,090,931"
Madcon,"5,073,419",1790,"6,532,252"
Gipsy Kings,"5,073,297",1756,"6,215,166"
Desi Crew,"5,073,143",2108,"5,461,697"
Whitesnake,"5,069,801",1605,"5,797,174"
Third Eye Blind,"5,068,850",1682,"6,673,036"
Steppenwolf,"5,068,134",1656,"5,876,307"
Wall Hein,"5,067,454",990,"8,785,923"
Kalyanji-Anandji,"5,065,529",2340,"5,065,529"
Young Dolph,"5,059,229",1541,"6,649,397"
Nico & Vinz,"5,050,025",1421,"7,512,860"
Yuki Chiba,"5,049,699",1982,"5,995,297"
Hale,"5,038,482",2360,"5,038,482"
Ajaxx,"5,038,397",1224,"6,928,166"
Alonzo,"5,037,638",1875,"5,692,989"
Arivu,"5,035,872",1988,"5,789,865"
That Mexican OT,"5,033,595",1505,"6,919,201"
Village People,"5,032,934",1958,"5,679,838"
Sheck Wes,"5,032,526",1286,"6,857,387"
Sofia Carson,"5,031,172",1499,"6,965,782"
Seal,"5,029,206",1697,"6,219,877"
RJ Pasin,"5,028,371",2369,"5,028,371"
Tion Wayne,"5,027,901",902,"8,886,575"
Caio Luccas,"5,023,876",1815,"5,867,160"
Afsana Khan,"5,023,707",2372,"5,023,707"
Мария Янковская,"5,023,136",2323,"5,048,622"
Unnikrishnan,"5,021,448",2318,"5,077,281"
Haley Reinhart,"5,020,765",1600,"5,869,986"
LEGADO 7,"5,019,478",2347,"5,190,141"
LiSA,"5,017,337",2207,"5,017,337"
Gabriela Rocha,"5,013,433",2093,"5,252,644"
Polimá Westcoast,"5,013,346",415,"14,509,409"
Aziz Hedra,"5,013,217",1477,"6,589,599"
The Rare Occasions,"5,011,919",1444,"7,307,176"
Mareux,"5,009,263",1486,"5,801,197"
Mike Bahía,"5,005,767",1369,"6,457,022"
BossMan Dlow,"5,000,270",1976,"5,847,022"
Yung Beef,"4,998,471",2385,"4,998,471"
Fivio Foreign,"4,995,533",706,"10,141,150"
Dakota,"4,995,375",2221,"5,020,825"
Kaskade,"4,994,660",1305,"6,562,786"
Lil Tracy,"4,992,712",1858,"5,723,519"
Srinivas,"4,990,541",2390,"4,990,541"
Fatboy Slim,"4,989,831",1083,"7,929,652"
Lalo Rodriguez,"4,989,732",1789,"6,503,821"
Lou Reed,"4,988,813",1862,"5,980,714"
Tempoe,"4,984,253",1406,"7,479,721"
Crazy Town,"4,982,470",2312,"5,052,511"
Bruno Martini,"4,982,348",1643,"6,004,945"
DannyLux,"4,981,792",1391,"6,834,950"
Kina,"4,980,838",1115,"7,274,585"
L-Gante,"4,979,486",1045,"7,518,307"
Luis Enrique,"4,974,935",2400,"4,974,935"
ian,"4,974,235",1752,"6,415,848"
Pirlo,"4,972,329",1732,"6,293,656"
Young Money,"4,969,951",1545,"6,167,443"
Andy Rivera,"4,969,492",1399,"6,004,762"
Drowning Pool,"4,969,120",2102,"5,450,982"
JAWNY,"4,967,739",2034,"5,506,676"
John Mellencamp,"4,966,209",1308,"7,110,678"
ChiChi Peralta,"4,966,162",1888,"6,224,363"
AnnenMayKantereit,"4,963,875",1380,"6,211,064"
Alex Gargolas,"4,963,050",1956,"5,679,830"
MC L da Vinte,"4,962,165",1793,"5,204,483"
Tribalistas,"4,955,675",2348,"5,054,600"
Flow G,"4,955,244",2314,"4,955,244"
NCTS,"4,953,915",2404,"4,954,587"
Au/Ra,"4,950,899",1194,"6,859,938"
Kardinal Offishall,"4,949,635",2403,"4,959,213"
Hande Yener,"4,949,268",1843,"5,935,860"
Stardust,"4,949,201",2176,"5,361,221"
Legião Urbana,"4,944,511",2200,"5,281,037"
Lucky Brown,"4,942,214",1944,"5,504,257"
No Te Va Gustar,"4,942,170",2143,"5,288,198"
Amenazzy,"4,939,639",1470,"7,181,964"
Cuco,"4,938,595",1346,"6,374,023"
Gustavo Cerati,"4,936,976",2146,"5,144,935"
Skusta Clee,"4,936,556",2425,"4,936,556"
Tungevaag,"4,932,588",1246,"6,968,091"
Raim Laode,"4,932,281",913,"8,878,058"
Pretenders,"4,929,446",704,"12,970,702"
Todah Music,"4,927,479",2384,"4,927,479"
The Proclaimers,"4,921,403",1304,"7,517,411"
Charly Black,"4,919,523",1785,"4,930,959"
Edith Whiskers,"4,919,191",2308,"5,165,502"
Rusha & Blizza,"4,914,019",2433,"4,914,019"
Dharius,"4,913,216",1881,"5,566,234"
Heroes Del Silencio,"4,908,996",2133,"5,255,121"
Malaysia Vasudevan,"4,903,372",1427,"7,648,535"
Sub Focus,"4,903,151",1993,"5,536,830"
Hev Abi,"4,903,038",1611,"6,643,343"
Fast & Furious: The Fast Saga,"4,902,966",280,"20,526,487"
Justin Hurwitz,"4,902,313",1833,"5,867,268"
Hector,"4,902,116",2362,"5,027,095"
Kelis,"4,901,010",1746,"5,805,954"
Gülşen,"4,896,274",1746,"6,209,633"
mikeeysmind,"4,895,460",1548,"6,992,439"
IU,"4,894,729",901,"8,805,240"
Tonny Tun Tun,"4,893,576",2368,"5,016,287"
6arelyhuman,"4,893,400",1418,"7,314,583"
Sona Mohapatra,"4,893,028",2368,"4,961,358"
Mc Lipi,"4,888,919",1299,"7,701,395"
Diego Torres,"4,882,527",1900,"5,662,724"
José González,"4,879,824",1772,"6,272,255"
Salve Malak,"4,876,523",1309,"7,138,958"
Luther Vandross,"4,875,507",1718,"6,410,696"
Brad Paisley,"4,874,724",1299,"8,242,760"
ANOTR,"4,874,445",1577,"6,790,565"
Blue Swede,"4,872,509",1896,"5,762,837"
Peter Gabriel,"4,869,369",1504,"5,916,206"
Josh Meloy,"4,869,243",2012,"5,666,382"
Soap&Skin,"4,867,963",2172,"5,407,528"
Cedric Gervais,"4,859,125",1670,"6,555,819"
ROA,"4,858,847",2461,"4,858,847"
Arsy Widianto,"4,854,838",1394,"7,548,522"
Baby Bash,"4,854,235",2055,"5,165,007"
Sickick,"4,853,189",1462,"5,825,279"
James Taylor,"4,849,119",1458,"6,495,651"
KSHMR,"4,846,841",1187,"7,488,809"
Dexys Midnight Runners,"4,845,315",1820,"5,989,339"
Masked Wolf,"4,845,041",924,"8,528,561"
Maverick Sabre,"4,844,461",2027,"5,749,146"
Anahí,"4,843,959",1241,"6,599,848"
Keisya Levronka,"4,839,184",1507,"6,259,545"
Ravi Basrur,"4,838,235",1813,"4,969,465"
Lupe Fiasco,"4,838,142",1781,"5,843,600"
Big Pun,"4,834,942",2250,"5,195,873"
Nagalli,"4,834,701",1179,"8,367,397"
Qadir Khan,"4,833,607",2476,"4,833,607"
Murtuza Khan,"4,833,517",2477,"4,833,517"
KT Tunstall,"4,831,714",1888,"5,737,843"
A Day To Remember,"4,830,882",1803,"5,251,262"
MC Meno K,"4,830,710",2410,"4,898,608"
Amy Macdonald,"4,829,707",1854,"5,834,735"
C-Kan,"4,829,681",1992,"5,321,784"
Ana Mena,"4,829,068",1322,"8,059,640"
Vijay,"4,827,287",2082,"5,572,008"
BENEE,"4,826,116",1188,"6,861,046"
Inspector,"4,821,139",2049,"5,384,623"
Reyli Barba,"4,817,666",1690,"6,504,192"
Yasmin Santos,"4,817,615",2251,"5,192,641"
The Red Jumpsuit Apparatus,"4,812,685",1918,"5,657,825"
1nonly,"4,809,440",1389,"6,409,926"
&ME,"4,806,682",2452,"4,833,963"
Deva,"4,805,517",2168,"5,368,809"
Peter Bjorn and John,"4,804,689",2293,"4,834,950"
Kartik Dev,"4,801,415",2494,"4,801,415"
MORTEN,"4,797,411",2087,"5,161,421"
Noah,"4,794,258",1770,"5,644,333"
Ella Fitzgerald,"4,791,677",191,"28,395,136"
Mumuzinho,"4,791,121",2194,"5,489,888"
RAF Camora,"4,787,341",1336,"6,677,495"
YSY A,"4,785,367",1349,"7,331,237"
