Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
Migrantes,1 241 049 407,565 199 647,52 915 221,675 849 760,483 309,198 953,284 356,85,66,26,19
Kool Savas,1 236 583 939,1 008 604 961,355 962 608,227 978 978,334 816,251 511,83 305,393,356,182,37
Crush,1 241 725 969,806 821 208,511 198 175,434 904 761,478 223,349 119,129 104,128,102,60,26
Hilltop Hoods,1 241 920 804,1 241 920 804,749 334 653,0,406 759,406 759,0,128,128,92,0
Sam Martin,1 241 957 897,8 500 508,6 951 927,1 233 457 389,431 371,1 694,429 677,75,9,8,66
Ghostface Killah,1 241 684 465,288 819 536,69 012 231,952 864 929,391 978,74 635,317 343,432,289,82,143
Mitchell Tenpenny,1 242 219 094,1 115 887 962,979 529 487,126 331 132,402 082,354 624,47 458,107,98,89,9
Lucky Daye,1 242 516 333,823 105 945,642 128 329,419 410 388,523 719,353 881,169 838,113,71,54,42
Tash Sultana,1 244 572 363,1 135 967 570,1 116 298 116,108 604 793,354 916,324 432,30 484,60,58,52,2
Young Cister,1 243 329 703,609 209 182,334 709 866,634 120 521,1 391 150,948 939,442 211,125,72,42,53
Landon Cube,1 245 670 447,188 727 145,82 462 878,1 056 943 302,189 394,32 679,156 715,57,45,33,12
Soprano,1 247 908 895,968 898 696,645 113 500,279 010 199,503 963,411 406,92 557,272,216,143,56
Plies,1 248 198 934,735 207 389,222 910 782,512 991 545,447 043,234 526,212 517,269,230,187,39
Four Tops,1 248 343 765,1 241 984 105,1 226 612 953,6 359 660,520 961,503 830,17 131,108,100,96,8
Perry Como,1 248 321 440,1 246 258 618,640 047 510,2 062 822,178 963,178 724,239,206,203,169,3
Luther Vandross,1 249 417 859,1 238 217 287,991 615 365,11 200 572,669 279,663 804,5 475,230,224,192,6
LeeHi,1 249 647 522,1 009 276 392,775 073 654,240 371 130,898 098,811 535,86 563,66,54,40,12
Veysel,1 250 396 747,893 967 899,560 186 909,356 428 848,357 842,295 522,62 320,142,109,66,33
J-AX,1 250 754 824,977 064 444,294 390 522,273 690 380,210 633,137 243,73 390,253,220,103,33
Kina Grannis,1 251 529 745,849 271 487,825 159 956,402 258 258,212 350,146 900,65 450,219,182,154,37
Eric Prydz,1 252 168 603,1 175 916 812,1 020 702 805,76 251 791,548 877,488 195,60 682,72,64,45,8
Gus Dapperton,1 255 018 296,450 153 016,437 787 913,804 865 280,206 780,87 207,119 573,65,57,49,8
Borges,1 253 104 154,476 157 783,1 051 474,776 946 371,916 027,271 834,644 193,86,33,1,53
Pol Granch,1 255 087 523,321 796 810,290 250 412,933 290 713,773 074,79 010,694 064,54,49,44,5
Mandy Moore,1 255 347 270,1 254 277 350,688 805 036,1 069 920,579 480,578 758,722,94,93,88,1
Bizzey,1 259 780 006,746 996 728,27 439 024,512 783 278,239 330,148 459,90 871,157,98,15,59
Sevn Alias,1 260 004 343,770 985 777,364 269 276,489 018 566,254 031,166 895,87 136,268,198,126,70
Kip Moore,1 260 314 746,1 260 314 746,1 243 712 025,0,316 489,316 489,0,113,113,110,0
Celia Cruz,1 260 392 155,1 165 494 450,593 872 438,94 897 705,617 814,578 978,38 836,287,222,137,65
Hande Yener,1 260 394 390,1 256 561 224,1 144 402 307,3 833 166,1 278 709,1 273 728,4 981,210,207,178,3
Millonario,1 262 004 108,566 256 665,430 404 781,695 747 443,1 432 826,800 375,632 451,50,35,27,15
Jovanotti,1 259 910 677,1 032 627 357,890 856 184,227 283 320,554 809,500 641,54 168,373,353,309,20
SG Lewis,1 264 103 617,884 084 207,329 296 354,380 019 410,387 908,142 939,244 969,125,94,29,31
Guyon Waton,1 263 233 676,1 081 999 232,950 780 214,181 234 444,1 264 776,1 071 190,193 586,51,48,41,3
Blackstreet,1 264 785 477,1 125 195 483,228 768 990,139 589 994,547 807,507 199,40 608,85,78,59,7
Matt Maltese,1 264 919 252,1 259 114 197,1 242 935 669,5 805 055,908 785,904 847,3 938,89,87,82,2
Hoodie Allen,1 265 371 508,1 014 057 935,462 429 818,251 313 573,225 113,107 541,117 572,100,89,59,11
SUGA,1 265 269 831,0,0,1 265 269 831,495 363,0,495 363,10,0,0,10
Grupo Codiciado,1 266 523 613,752 830 437,710 105 618,513 693 176,489 299,275 786,213 513,164,123,107,41
Dax,1 265 423 247,1 158 475 123,934 822 944,106 948 124,982 526,947 871,34 655,93,88,67,5
Tom Rosenthal,1 266 240 531,1 266 240 531,1 210 865 803,0,646 121,646 121,0,166,166,159,0
José Feliciano,1 265 415 635,1 198 338 775,1 106 504 755,67 076 860,317 322,288 482,28 840,215,199,187,16
Atitude 67,1 267 064 947,1 115 442 822,957 170 087,151 622 125,378 505,361 070,17 435,156,136,105,20
Rodney Atkins,1 267 771 148,1 262 374 011,942 997 222,5 397 137,560 256,559 364,892,76,68,63,8
Ski Aggu,1 268 682 473,895 104 782,229 013 823,373 577 691,1 286 178,705 319,580 859,68,53,31,15
Mozzy,1 266 714 118,775 946 255,234 691 221,490 767 863,315 179,183 508,131 671,530,403,146,127
Vanessa Carlton,1 268 860 601,1 043 518 452,1 043 112 567,225 342 149,517 027,416 574,100 453,85,83,82,2
Y2K,1 269 421 238,1 130 669 241,0,138 751 997,180 812,162 597,18 215,25,10,0,15
Jay Park,1 269 120 950,1 066 477 316,390 379 488,202 643 634,442 845,369 701,73 144,236,198,81,38
Alice Cooper,1 268 683 208,1 202 753 442,1 197 864 196,65 929 766,426 089,405 613,20 476,440,394,387,46
James Newton Howard,1 268 914 338,1 075 640 485,650 882 865,193 273 853,598 812,528 082,70 730,652,620,550,32
Parov Stelar,1 270 982 696,1 247 535 315,757 548 001,23 447 381,349 704,334 616,15 088,261,253,139,8
Ari Lennox,1 270 789 106,777 524 413,506 113 694,493 264 693,347 483,183 630,163 853,90,50,41,40
Frah Quintale,1 270 849 575,875 447 743,735 724 095,395 401 832,699 166,363 419,335 747,80,56,51,24
SiR,1 271 576 558,1 108 133 361,611 782 204,163 443 197,696 236,646 984,49 252,92,71,50,21
Pia Mia,1 271 778 025,1 121 755 413,381 740 745,150 022 612,245 010,221 315,23 695,51,42,35,9
Pixote,1 271 976 545,1 138 572 124,1 075 843 817,133 404 421,713 017,641 665,71 352,193,170,124,23
Seal,1 272 263 857,1 229 391 746,1 201 790 116,42 872 111,471 474,462 001,9 473,242,227,197,15
José Luis Perales,1 272 854 805,1 205 625 366,1 190 809 684,67 229 439,840 684,803 987,36 697,210,207,203,3
Sampha,1 272 631 524,459 123 532,452 923 528,813 507 992,518 293,148 293,370 000,65,42,40,23
Takagi & Ketra,1 273 619 079,680 601 083,33 712 327,593 017 996,563 586,139 599,423 987,24,14,1,10
VINAI,1 273 562 552,801 619 137,81 839 358,471 943 415,645 583,220 928,424 655,88,58,12,30
Raça Negra,1 273 152 284,1 139 097 582,875 868 168,134 054 702,707 609,632 375,75 234,336,318,277,18
Chevelle,1 273 658 656,1 273 658 656,1 273 658 656,0,576 213,576 213,0,139,139,139,0
Mase,1 273 619 305,465 113 845,280 425 251,808 505 460,419 144,169 531,249 613,85,55,34,30
Madcon,1 274 306 593,1 146 781 263,566 347 566,127 525 330,443 961,430 474,13 487,105,92,45,13
Al James,1 276 174 397,794 700 137,552 804 227,481 474 260,1 129 110,673 873,455 237,25,12,7,13
Yebba,1 274 901 671,273 445 269,194 593 866,1 001 456 402,645 793,175 887,469 906,37,24,21,13
Snelle,1 276 233 419,961 871 190,577 163 082,314 362 229,228 388,172 335,56 053,121,97,67,24
Surf Mesa,1 276 402 975,1 231 526 986,8 794 226,44 875 989,286 623,265 423,21 200,30,24,5,6
The Velvet Underground,1 276 909 156,1 276 909 156,778 796 639,0,522 691,522 691,0,223,223,189,0
Trettmann,1 278 894 258,782 210 631,17 876 337,496 683 627,357 225,220 430,136 795,102,71,5,31
Ñejo & Dalmata,1 279 743 024,915 273 965,520 364 000,364 469 059,815 224,577 360,237 864,46,34,23,12
NEIKED,1 279 818 554,1 243 112 530,2 262 234,36 706 024,229 580,226 791,2 789,42,38,1,4
Marisa Monte,1 280 401 852,1 220 606 550,1 007 306 893,59 795 302,745 680,722 853,22 827,228,221,187,7
Mc Daniel,1 281 931 936,407 176 637,52 961 306,874 755 299,1 321 030,385 581,935 449,76,35,2,41
BHZ,1 280 957 171,632 478 796,55 524 990,648 478 375,393 102,187 300,205 802,297,134,10,163
Rico Nasty,1 282 208 121,608 448 490,477 859 509,673 759 631,431 709,131 532,300 177,147,111,78,36
Franglish,1 282 393 443,861 606 635,453 289 421,420 786 808,705 364,451 585,253 779,183,128,96,55
King Princess,1 284 167 060,1 260 099 114,1 169 300 125,24 067 946,603 180,597 975,5 205,54,50,40,4
Barbra Streisand,1 280 119 450,1 258 021 065,750 536 403,22 098 385,432 214,425 293,6 921,478,459,387,19
Antonio Vivaldi,1 280 295 167,1 280 295 167,0,0,730 618,730 618,0,878,878,0,0
Porter Robinson,1 285 990 480,1 233 288 179,656 375 323,52 702 301,410 055,397 464,12 591,106,89,53,17
Allman Brothers Band,1 285 768 630,1 285 768 630,1 285 232 572,0,399 988,399 988,0,296,296,292,0
Chimbala,1 287 300 890,586 419 688,384 662 228,700 881 202,660 128,353 442,306 686,131,68,20,63
reidenshi,1 286 299 804,56 773 789,51 127 931,1 229 526 015,1 182 117,86 013,1 096 104,20,9,7,11
Yung Bleu,1 288 264 424,1 027 699 681,341 352 218,260 564 743,495 504,409 834,85 670,234,187,127,47
Kukon,1 288 647 859,1 100 727 160,399 572 393,187 920 699,737 114,571 613,165 501,229,190,64,39
Europe,1 289 478 484,1 289 478 484,1 289 478 484,0,516 945,516 945,0,182,182,182,0
Too $hort,1 284 841 795,590 141 246,364 050 413,694 700 549,411 088,212 684,198 404,386,246,139,140
Los Caminantes,1 290 165 419,1 286 510 673,1 284 138 857,3 654 746,816 602,816 031,571,343,341,339,2
Regina Spektor,1 290 576 128,1 242 642 330,1 211 673 795,47 933 798,371 758,356 342,15 416,157,154,151,3
Kevin,1 290 926 970,908 917 341,311 531 760,382 009 629,653 291,544 879,108 412,175,121,58,54
Nightcrawlers,1 291 901 748,224 773 000,178 110 144,1 067 128 748,416 774,89 823,326 951,28,26,6,2
Oki,1 291 958 005,985 314 244,50 972 426,306 643 761,995 139,728 146,266 993,131,99,15,32
FKA twigs,1 292 994 090,874 334 015,666 892 686,418 660 075,974 836,833 215,141 621,63,58,46,5
Jordin Sparks,1 293 340 428,1 136 577 575,555 802 138,156 762 853,440 969,372 899,68 070,100,85,65,15
Donna Summer,1 293 114 165,1 141 192 410,1 081 094 688,151 921 755,563 898,519 431,44 467,239,236,183,3
Lamb of God,1 293 498 663,1 279 910 403,1 230 457 610,13 588 260,500 076,475 500,24 576,180,177,168,3
Brothers Osborne,1 298 619 034,1 099 924 570,1 090 876 434,198 694 464,324 554,275 859,48 695,73,69,67,4
BM,1 296 849 891,744 894 140,255 394 865,551 955 751,880 548,295 429,585 119,36,20,8,16
Kenny G,1 294 234 493,1 018 741 775,917 341 273,275 492 718,510 241,418 217,92 024,290,272,219,18
Beach Weather,1 295 884 397,1 291 665 349,1 288 727 132,4 219 048,1 188 256,1 183 261,4 995,45,44,42,1
Dhruv,1 294 194 469,1 294 194 469,1 294 194 469,0,714 047,714 047,0,21,21,21,0
Jasleen Royal,1 294 632 153,1 155 339 343,125 269 581,139 292 810,2 019 576,1 939 251,80 325,44,34,10,10
DIVINE,1 298 648 543,1 032 714 023,471 130 871,265 934 520,1 102 334,833 027,269 307,82,58,24,24
Run The Jewels,1 298 922 766,1 086 045 518,42 715 389,212 877 248,247 845,199 747,48 098,122,107,26,15
Dzeko,1 299 601 125,106 735 522,6 043 234,1 192 865 603,258 501,6 238,252 263,59,19,4,40
Mark Forster,1 299 458 453,1 178 837 865,875 761 445,120 620 588,244 195,210 104,34 091,168,157,129,11
Gaab,1 299 962 280,508 930 502,189 042 004,791 031 778,423 609,144 018,279 591,287,136,49,151
Vigiland,1 300 551 884,1 188 139 851,624 953 617,112 412 033,111 733,98 985,12 748,73,59,15,14
Faye Webster,1 301 104 158,1 274 660 837,1 254 462 047,26 443 321,2 094 552,2 080 607,13 945,67,65,63,2
Emily Warren,1 301 226 445,23 839 995,22 209 037,1 277 386 450,145 961,1 494,144 467,40,12,10,28
Jamby El Favo,1 300 405 004,650 578 189,419 641 032,649 826 815,918 293,476 786,441 507,170,90,50,80
Mahmood,1 302 312 586,1 157 384 021,748 218 995,144 928 565,462 842,357 247,105 595,68,56,33,12
El Canto Del Loco,1 301 437 634,1 292 606 102,1 074 462 675,8 831 532,450 956,449 583,1 373,114,113,106,1
Shy Glizzy,1 301 562 682,550 705 776,345 635 119,750 856 906,339 391,122 254,217 137,205,180,108,25
Cochise,1 303 299 785,1 291 767 502,735 512 706,11 532 283,456 384,445 206,11 178,106,101,94,5
Sixpence None The Richer,1 302 827 285,1 302 549 764,1 302 549 764,277 521,904 812,904 452,360,86,85,85,1
Mike Williams,1 303 697 942,642 287 954,219 090 533,661 409 988,87 858,81 606,6 252,102,67,18,35
Big Time Rush,1 303 808 523,1 299 092 338,1 117 731 746,4 716 185,427 504,418 981,8 523,83,82,71,1
Parokya Ni Edgar,1 303 455 853,1 303 455 853,1 110 985 326,0,1 115 640,1 115 640,0,193,193,177,0
Szpaku,1 304 044 365,728 376 046,149 279 414,575 668 319,1 069 695,651 474,418 221,172,103,23,69
Joy Division,1 304 488 227,1 304 488 227,1 304 488 227,0,452 737,452 737,0,121,121,121,0
Intense,1 304 911 921,88 690 935,0,1 216 220 986,1 103 922,107 035,996 887,95,29,0,66
Eazy-E,1 305 809 197,1 195 873 911,871 017 589,109 935 286,729 697,665 867,63 830,71,66,41,5
Warren G,1 305 328 673,1 123 068 743,70 497 680,182 259 930,484 183,411 845,72 338,127,105,59,22
Aleks Syntek,1 306 722 772,1 017 854 450,637 095 066,288 868 322,661 078,542 903,118 175,170,149,112,21
Vitor Kley,1 307 320 773,927 952 381,542 084 898,379 368 392,397 824,227 705,170 119,144,99,64,45
Kelis,1 306 921 260,776 891 557,587 869 212,530 029 703,419 551,271 007,148 544,151,111,81,40
Salve Malak,1 307 809 133,8 765 107,0,1 299 044 026,524 840,1 844,522 996,30,4,0,26
The Shins,1 310 909 039,1 310 909 039,1 306 896 845,0,380 635,380 635,0,91,91,87,0
Lucy Dacus,1 309 671 258,446 066 945,446 066 945,863 604 313,842 370,204 087,638 283,63,44,44,19
Bakar,1 311 426 436,1 277 902 066,972 098 367,33 524 370,935 593,927 543,8 050,64,58,53,6
Clayton & Romário,1 311 436 681,1 029 916 323,699 450 945,281 520 358,952 676,758 138,194 538,156,112,100,44
John Summit,1 313 059 539,1 067 638 037,235 712 733,245 421 502,1 852 208,1 471 209,380 999,111,87,32,24
LEGADO 7,1 311 464 095,1 096 841 477,593 278 296,214 622 618,1 223 996,1 032 800,191 196,208,175,136,33
Corinne Bailey Rae,1 313 458 647,1 298 446 658,1 298 446 658,15 011 989,523 837,517 840,5 997,87,82,82,5
BloodPop®,1 314 533 519,955 802,955 802,1 313 577 717,207 586,36,207 550,11,1,1,10
Sofiane,1 314 142 926,658 452 752,439 769 262,655 690 174,302 010,151 383,150 627,154,107,78,47
Brandon Lake,1 315 056 978,510 170 143,436 341 324,804 886 835,1 916 284,1 027 063,889 221,149,103,73,46
Nick Cave & The Bad Seeds,1 313 012 517,1 313 012 517,1 162 079 292,0,519 289,519 289,0,339,339,333,0
Jagged Edge,1 315 161 162,988 083 125,426 503 906,327 078 037,606 872,494 445,112 427,200,178,149,22
Rizky Febian,1 318 554 346,1 138 787 329,815 529 962,179 767 017,633 189,566 220,66 969,56,51,41,5
Dedublüman,1 315 405 411,1 306 959 106,683 731 423,8 446 305,1 967 200,1 956 503,10 697,33,31,19,2
Matt Simons,1 315 430 000,1 274 764 266,606 055 772,40 665 734,253 247,246 672,6 575,80,76,65,4
Tai Verdes,1 317 694 705,1 208 151 333,1 177 772 121,109 543 372,360 311,332 781,27 530,43,42,39,1
Murda Beatz,1 316 842 813,81 857 905,0,1 234 984 908,229 181,14 858,214 323,61,7,0,54
Natos y Waor,1 319 478 718,1 213 193 440,571 281 888,106 285 278,518 915,420 632,98 283,148,128,63,20
Los Huracanes del Norte,1 317 485 990,1 314 460 980,1 312 991 712,3 025 010,744 518,741 769,2 749,409,406,405,3
Royal Philharmonic Orchestra,1 318 724 207,228 268 321,198 851 432,1 090 455 886,616 729,135 234,481 495,738,310,294,428
Sam Fischer,1 320 211 113,1 211 176 515,847 885 317,109 034 598,258 069,219 599,38 470,71,57,32,14
Kizo,1 319 984 236,1 019 595 310,130 676 048,300 388 926,647 909,532 897,115 012,192,143,27,49
ZillaKami,1 322 041 068,346 963 303,277 490 131,975 077 765,529 159,201 683,327 476,101,15,13,86
NCT U,1 322 753 722,1 085 200 067,1 079 803 442,237 553 655,389 593,339 683,49 910,67,60,56,7
OHGEESY,1 323 669 581,347 770 597,94 878 873,975 898 984,1 010 960,277 846,733 114,115,48,22,67
Reykon,1 323 708 347,1 040 128 367,415 709 445,283 579 980,296 706,271 715,24 991,120,95,53,25
Neo Beats,1 325 412 473,12 876 333,1 729 868,1 312 536 140,529 157,2 182,526 975,91,12,3,79
Cookin' On 3 Burners,1 324 708 018,49 657 114,13 176 474,1 275 050 904,374 961,10 669,364 292,53,47,26,6
DVBBS,1 326 086 681,1 079 692 058,138 530 083,246 394 623,248 126,203 125,45 001,126,98,32,28
Halestorm,1 325 987 778,1 325 313 171,1 302 194 725,674 607,469 192,466 767,2 425,164,163,159,1
TREASURE,1 326 575 319,1 326 575 319,1 317 839 835,0,565 021,565 021,0,85,85,81,0
Fredo,1 326 977 155,721 646 106,457 402 337,605 331 049,419 751,209 050,210 701,108,88,65,20
Super Yei,1 327 013 098,1 322 282 379,55 254 937,4 730 719,684 840,683 604,1 236,58,53,11,5
K.Flay,1 326 723 620,1 162 760 917,964 855 178,163 962 703,438 443,410 067,28 376,131,102,87,29
Zuna,1 327 765 222,710 799 437,317 687 304,616 965 785,288 584,145 555,143 029,129,97,63,32
Sukhwinder Singh,1 328 380 461,578 040 260,139 254 455,750 340 201,1 432 038,561 197,870 841,236,122,41,114
Stereophonics,1 331 130 832,1 320 765 160,1 320 765 160,10 365 672,560 127,553 886,6 241,258,229,229,29
Bvga Beatz,1 329 054 873,0,0,1 329 054 873,979 543,0,979 543,66,0,0,66
Inspector,1 331 889 681,1 325 337 879,1 266 713 631,6 551 802,719 622,707 363,12 259,136,133,98,3
Dropkick Murphys,1 332 462 782,1 332 462 782,1 314 423 861,0,384 752,384 752,0,263,263,252,0
Ying Yang Twins,1 333 859 179,466 534 920,170 184 087,867 324 259,506 443,174 726,331 717,112,86,43,26
Parson James,1 332 836 501,157 941 685,147 798 902,1 174 894 816,451 569,13 910,437 659,42,27,16,15
Savage Garden,1 334 827 935,1 334 827 935,1 332 341 145,0,610 931,610 931,0,66,66,59,0
Gilli,1 334 323 529,817 255 086,521 499 078,517 068 443,592 428,304 068,288 360,162,89,52,73
Broederliefde,1 335 489 645,1 138 889 760,567 804 795,196 599 885,413 113,340 527,72 586,170,151,88,19
Kausar Munir,1 336 119 504,0,0,1 336 119 504,2 623 196,0,2 623 196,89,0,0,89
New West,1 337 576 231,1 337 576 231,1 331 184 771,0,1 265 636,1 265 636,0,47,47,45,0
Bugzy Malone,1 340 906 882,875 144 566,559 780 375,465 762 316,317 819,220 694,97 125,103,90,70,13
Afgan,1 341 469 870,1 246 322 894,1 034 830 763,95 146 976,1 324 241,1 283 908,40 333,100,90,75,10
Hannah Montana,1 342 107 311,1 339 063 786,1 228 830 127,3 043 525,581 099,580 321,778,79,78,64,1
Freeze corleone,1 343 429 620,861 948 525,605 466 656,481 481 095,545 603,313 749,231 854,192,105,62,87
Ólafur Arnalds,1 343 539 783,1 176 394 381,790 453 076,167 145 402,413 982,284 968,129 014,289,248,194,41
Salim–Sulaiman,1 344 233 905,1 294 748 276,20 172 734,49 485 629,1 587 881,1 522 182,65 699,207,185,18,22
Gazzelle,1 346 467 408,1 269 856 684,1 112 456 667,76 610 724,1 377 737,1 347 566,30 171,71,66,61,5
ATB,1 345 794 659,1 325 310 602,370 334 278,20 484 057,563 634,557 112,6 522,290,280,168,10
Shaan,1 344 293 517,415 122 645,79 725 780,929 170 872,1 527 343,509 948,1 017 395,253,144,55,109
Dakota,1 348 177 687,8 756 574,6 861 534,1 339 421 113,358 429,314,358 115,22,10,6,12
Håkan Hellström,1 348 038 375,1 240 978 226,1 166 098 782,107 060 149,217 472,190 222,27 250,209,203,192,6
Michael Giacchino,1 343 968 972,1 218 925 217,1 194 660 614,125 043 755,537 805,480 393,57 412,683,682,649,1
Randy,1 349 369 057,311 211 811,56 856 576,1 038 157 246,719 508,90 129,629 379,130,59,17,71
Miles Davis,1 347 295 149,1 327 086 861,584 880 700,20 208 288,568 522,561 012,7 510,754,736,580,18
Jatin-Lalit,1 349 868 064,1 280 429 871,13 653 956,69 438 193,1 368 530,1 275 836,92 694,98,93,9,5
Victoria Monét,1 350 819 541,1 018 322 302,762 651 646,332 497 239,573 891,510 811,63 080,95,75,55,20
Código FN,1 350 857 603,1 048 277 951,461 250 797,302 579 652,1 107 899,872 983,234 916,168,157,136,11
Sheryl Crow,1 350 017 912,1 251 748 174,973 023 494,98 269 738,580 734,553 385,27 349,251,223,187,28
Białas,1 349 325 616,725 934 017,55 611 624,623 391 599,491 301,242 159,249 142,377,237,37,140
Marcos & Belutti,1 352 339 426,1 296 574 318,628 870 203,55 765 108,409 560,367 819,41 741,230,209,181,21
Mc Pedrinho,1 354 054 989,457 803 136,128 926 261,896 251 853,505 593,217 722,287 871,180,75,26,105
Snoh Aalegra,1 354 580 336,1 142 025 760,930 157 434,212 554 576,630 955,527 240,103 715,75,65,53,10
KITSCHKRIEG,1 354 662 920,477 201 317,911 921,877 461 603,267 184,100 917,166 267,119,37,1,82
Jósean Log,1 354 738 564,1 273 251 169,1 273 251 169,81 487 395,1 246 256,1 198 186,48 070,32,28,28,4
Jerry Rivera,1 354 872 118,1 331 911 127,1 317 100 487,22 960 991,764 216,757 959,6 257,143,135,130,8
Rick Astley,1 355 024 426,1 350 010 681,1 348 766 314,5 013 745,650 733,648 558,2 175,132,129,126,3
Janieck,1 355 276 881,171 375 127,84 768 755,1 183 901 754,482 286,13 677,468 609,51,18,10,33
Declan McKenna,1 356 159 730,1 356 159 730,1 350 590 568,0,753 222,753 222,0,54,54,50,0
Vicentico,1 356 734 670,1 184 475 740,798 379 717,172 258 930,449 457,387 844,61 613,124,102,92,22
Damas Gratis,1 358 601 393,1 273 316 706,578 740 160,85 284 687,516 427,500 205,16 222,221,215,181,6
Grupo Arriesgado,1 358 874 960,1 053 595 537,897 760 493,305 279 423,976 499,771 806,204 693,274,238,201,36
Joe,1 359 628 286,756 778 754,606 036 993,602 849 532,639 253,284 002,355 251,196,185,166,11
Nicky Youre,1 360 657 392,1 360 657 392,117 275 367,0,851 203,851 203,0,17,17,9,0
Michael Bolton,1 362 006 034,1 200 514 918,1 110 282 422,161 491 116,538 415,509 435,28 980,222,209,186,13
REO Speedwagon,1 362 006 410,1 361 675 193,1 361 675 193,331 217,629 541,629 501,40,171,169,169,2
Charly García,1 366 216 129,1 320 848 614,1 133 195 224,45 367 515,682 101,653 141,28 960,231,226,194,5
Tenacious D,1 367 289 330,1 367 289 330,1 367 143 496,0,363 711,363 711,0,114,114,113,0
Parker McCollum,1 367 398 104,1 290 572 318,1 284 134 233,76 825 786,968 330,924 774,43 556,62,59,58,3
Eason Chan,1 360 507 188,1 359 946 299,1 253 771 561,560 889,841 472,841 367,105,508,506,481,2
Djavan,1 361 275 434,1 269 244 949,1 224 581 773,92 030 485,1 012 031,963 942,48 089,353,340,331,13
Mazzy Star,1 368 308 386,1 361 135 927,1 354 227 879,7 172 459,1 565 650,1 564 500,1 150,61,60,59,1
Yüzyüzeyken Konuşuruz,1 368 493 151,1 365 500 027,1 360 576 183,2 993 124,546 428,545 559,869,59,58,56,1
Belo,1 368 872 572,826 439 301,739 643 772,542 433 271,1 290 233,833 612,456 621,342,250,225,92
Boy Wonder CF,1 368 944 231,724 188 486,0,644 755 745,731 388,440 956,290 432,131,71,0,60
Omarion,1 369 918 927,1 114 164 507,414 629 389,255 754 420,341 131,224 840,116 291,132,110,75,22
Vegedream,1 370 105 970,1 134 912 231,755 854 486,235 193 739,389 575,284 360,105 215,122,94,65,28
Deepend,1 370 419 737,452 629 243,47 032 466,917 790 494,429 530,223 319,206 211,137,89,5,48
Einár,1 371 032 711,943 824 891,618 554 069,427 207 820,495 184,306 127,189 057,78,49,31,29
Loreen,1 371 577 878,1 370 949 122,1 313 335 584,628 756,998 949,998 711,238,80,79,70,1
Jory Boy,1 372 278 479,722 969 046,82 875 930,649 309 433,887 756,506 292,381 464,180,83,39,97
The Supremes,1 374 519 517,1 374 358 333,1 361 515 063,161 184,414 628,414 510,118,147,146,137,1
Frankie Ruiz,1 374 663 288,1 371 270 065,1 370 228 338,3 393 223,1 520 679,1 516 786,3 893,73,72,71,1
Müslüm Gürses,1 370 759 174,1 358 664 901,1 321 579 184,12 094 273,989 529,977 286,12 243,515,502,489,13
FiNCH,1 376 085 550,1 057 084 514,438 913 231,319 001 036,1 360 668,1 151 522,209 146,152,120,68,32
Bread,1 374 836 117,1 374 836 117,1 374 836 117,0,801 666,801 666,0,74,74,74,0
Chase Rice,1 377 522 746,1 359 975 722,1 133 326 029,17 547 024,224 079,221 952,2 127,124,121,112,3
Young Stoner Life,1 376 877 571,951 351 386,0,425 526 185,602 689,528 862,73 827,145,31,0,114
GOT7,1 377 750 644,1 377 750 644,1 360 770 839,0,1 825 390,1 825 390,0,202,202,197,0
DJ BOY,1 378 733 077,450 127 898,0,928 605 179,1 358 052,456 820,901 232,92,36,0,56
Zoe Wees,1 378 892 140,984 079 268,916 920 023,394 812 872,582 776,407 699,175 077,64,49,39,15
Commodores,1 379 370 053,1 379 370 053,1 379 370 053,0,651 963,651 963,0,111,111,111,0
Tony Aguirre,1 380 061 469,286 683 038,46 927 628,1 093 378 431,901 014,155 292,745 722,187,117,82,70
Ajaxx,1 381 256 891,0,0,1 381 256 891,612 749,0,612 749,91,0,0,91
Lilly Wood and The Prick,1 380 832 978,1 380 832 978,134 529 718,0,709 275,709 275,0,67,67,59,0
La Sonora Dinamita,1 380 349 151,1 364 041 381,43 157 455,16 307 770,801 393,797 016,4 377,262,241,51,21
BANKS,1 383 292 657,1 281 610 729,1 151 834 201,101 681 928,275 099,247 926,27 173,106,97,73,9
Pyotr Ilyich Tchaikovsky,1 379 391 954,1 379 391 954,0,0,783 988,783 988,0,929,929,0,0
Sebastian Ingrosso,1 383 580 250,572 689 909,46 241 441,810 890 341,389 445,220 266,169 179,74,29,10,45
Tarkan,1 383 955 587,1 307 474 523,1 302 489 508,76 481 064,925 952,844 151,81 801,182,175,160,7
Aaron May,1 384 393 104,1 380 166 501,1 359 694 806,4 226 603,1 066 726,1 064 983,1 743,38,36,33,2
Gnarls Barkley,1 385 794 088,1 385 794 088,1 385 794 088,0,437 520,437 520,0,45,45,45,0
INTERWORLD,1 385 855 685,1 369 759 083,1 281 605 721,16 096 602,626 578,618 417,8 161,83,76,51,7
Slim Jxmmi,1 386 100 574,747 325,0,1 385 353 249,154 940,44,154 896,38,1,0,37
HVME,1 386 181 058,557 063 494,538 229 271,829 117 564,298 716,90 924,207 792,14,12,5,2
Diana Krall,1 386 695 165,1 252 554 611,1 042 238 914,134 140 554,390 340,329 858,60 482,223,202,181,21
FIFTY FIFTY,1 387 150 398,1 387 150 398,1 365 120 028,0,695 098,695 098,0,24,24,23,0
