Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
Nico Santos,1 073 748 802,637 161 834,509 562 360,436 586 968,207 023,148 765,58 258,123,88,70,35
jxdn,1 074 283 975,847 173 800,760 613 921,227 110 175,317 299,208 136,109 163,59,50,48,9
Jet,1 073 796 817,1 058 823 496,1 049 147 209,14 973 321,393 082,389 003,4 079,69,66,65,3
Sefo,1 073 383 292,1 046 040 132,629 888 407,27 343 160,264 118,258 871,5 247,44,37,26,7
Saba,1 074 396 742,694 620 442,256 562 112,379 776 300,195 793,126 632,69 161,78,60,26,18
Daniel Hope,1 074 645 768,1 254 979,0,1 073 390 789,569 626,106,569 520,115,2,0,113
Lucky Brown,1 074 879 736,659 006 890,15 469 470,415 872 846,1 674 280,1 302 798,371 482,63,35,2,28
Gerardo Coronel,1 039 395 185,735 368 490,662 446 413,304 026 695,2 194 394,1 879 623,314 771,270,260,210,10
Cássia Eller,999 537 796,979 703 466,810 296 148,19 834 330,535 477,525 127,10 350,174,167,145,7
cassö,1 000 070 374,984 621 588,0,15 448 786,927 519,910 330,17 189,16,14,0,2
Aaron Smith,1 000 725 147,1 000 725 147,0,0,296 298,296 298,0,22,22,0,0
SHAED,1 000 566 659,987 483 865,298 294 577,13 082 794,213 113,212 204,909,54,50,32,4
Tito Torbellino,1 002 125 620,995 260 478,921 841 723,6 865 142,584 909,584 153,756,244,243,241,1
Mi Banda El Mexicano,1 002 147 836,1 000 269 946,994 542 864,1 877 890,703 091,702 168,923,81,77,66,4
187 Strassenbande,1 002 428 727,960 186 391,43 003 325,42 242 336,467 749,449 425,18 324,61,58,23,3
Drowning Pool,1 002 660 864,992 338 233,992 338 233,10 322 631,525 560,521 151,4 409,105,104,104,1
Bellakath,1 004 738 705,880 365 156,295 913 473,124 373 549,1 112 102,690 275,421 827,67,56,11,11
D'Angelo,1 003 310 357,794 634 247,780 172 824,208 676 110,311 992,249 606,62 386,113,102,87,11
Yahritza Y Su Esencia,1 005 209 975,933 956 918,357 532 290,71 253 057,380 321,313 448,66 873,30,25,20,5
Pi’erre Bourne,1 004 622 713,676 737 044,434 208 349,327 885 669,339 919,232 843,107 076,217,83,76,134
Nadson O Ferinha,1 005 891 860,802 071 508,702 081 606,203 820 352,590 300,436 133,154 167,208,194,182,14
Sadhana Sargam,1 005 731 526,276 749 007,59 077 742,728 982 519,988 759,272 356,716 403,242,82,33,160
San Holo,1 005 944 535,919 001 917,560 415 097,86 942 618,128 242,121 042,7 200,197,187,53,10
Nines,1 006 223 409,930 415 990,347 524 458,75 807 419,604 780,546 509,58 271,176,166,73,10
JayDaYoungan,1 006 352 331,986 115 890,857 178 953,20 236 441,509 407,503 749,5 658,180,171,149,9
Jack Stauber,1 006 866 663,1 006 866 663,1 006 866 663,0,278 110,278 110,0,65,65,65,0
iZaak,1 006 750 000,200 475 907,47 257 246,806 274 093,1 800 467,577 173,1 223 294,88,43,28,45
Cashmere Cat,1 007 910 620,830 964 870,84 067 583,176 945 750,160 365,92 436,67 929,39,35,16,4
Luciano Pereyra,1 007 692 675,931 212 180,758 839 169,76 480 495,413 918,351 028,62 890,190,173,148,17
Alan Gomez,1 008 486 830,569 509 932,61 642 040,438 976 898,578 772,231 404,347 368,132,92,40,40
Belly,1 008 537 869,760 801 011,181 996 119,247 736 858,144 515,99 346,45 169,101,93,48,8
Sam Tinnesz,1 009 167 476,792 908 589,312 596 755,216 258 887,503 519,378 716,124 803,134,81,47,53
Bresh,1 009 267 528,678 480 718,89 661 564,330 786 810,533 072,305 086,227 986,60,38,14,22
twocolors,1 010 107 029,942 371 815,577 673 559,67 735 214,527 944,508 654,19 290,82,57,16,25
Mr.Children,1 009 513 708,1 009 513 708,1 009 513 708,0,603 015,603 015,0,287,287,287,0
Krono,1 009 919 639,19 626 304,461 476,990 293 335,318 567,1 890,316 677,33,24,1,9
Ruelle,1 010 334 864,834 626 412,790 933 297,175 708 452,462 166,405 696,56 470,80,69,65,11
Die Toten Hosen,1 008 938 439,998 657 935,988 238 834,10 280 504,398 015,391 589,6 426,614,601,579,13
Los Yonic's,1 010 339 834,1 003 546 530,874 434 036,6 793 304,706 261,703 202,3 059,199,189,179,10
PVRIS,1 010 787 804,729 261 296,691 933 583,281 526 508,418 275,192 999,225 276,85,68,58,17
Jain,1 010 835 391,1 005 756 523,897 305 029,5 078 868,344 280,343 566,714,47,46,41,1
Garry Sandhu,1 011 834 472,723 433 786,224 568 541,288 400 686,752 944,558 790,194 154,125,109,43,16
Alta Consigna,1 011 365 806,1 007 485 140,1 004 497 405,3 880 666,616 427,615 168,1 259,203,202,196,1
Charly Black,1 011 883 237,941 998 394,446 788 192,69 884 843,402 679,383 400,19 279,89,68,33,21
ReTo,1 012 197 676,811 072 767,160 879 960,201 124 909,494 114,384 400,109 714,153,124,43,29
Tinlicker,1 012 352 351,901 261 220,66 663 862,111 091 131,548 276,486 098,62 178,171,148,68,23
Jubël,1 012 389 079,1 003 226 945,322 130 033,9 162 134,238 683,235 752,2 931,54,52,22,2
Steppenwolf,1 012 589 679,1 011 471 904,1 005 611 778,1 117 775,374 951,374 309,642,84,77,73,7
Alter Bridge,1 012 961 779,1 012 961 779,990 183 887,0,327 411,327 411,0,156,156,135,0
El Trono de Mexico,1 014 299 426,1 001 905 554,1 001 002 982,12 393 872,1 072 761,1 067 391,5 370,170,166,164,4
Neeraj Shridhar,1 014 417 436,257 745 376,5 238 485,756 672 060,1 278 107,349 347,928 760,84,30,3,54
The Hollies,1 016 021 679,1 016 021 679,1 016 021 679,0,451 902,451 902,0,137,137,137,0
Unknown Mortal Orchestra,1 016 005 388,828 097 053,824 677 977,187 908 335,230 794,140 515,90 279,91,81,79,10
Gabrielle Aplin,1 016 275 823,971 422 461,749 979 672,44 853 362,123 392,114 735,8 657,167,142,123,25
TJ Monterde,1 016 874 525,1 007 633 968,927 665 953,9 240 557,1 930 570,1 922 642,7 928,68,67,65,1
SEKAI NO OWARI,1 016 448 577,999 217 534,999 217 534,17 231 043,585 427,582 953,2 474,119,114,114,5
Azealia Banks,1 016 936 280,906 044 694,575 544 965,110 891 586,513 156,417 814,95 342,79,67,58,12
Rob $tone,1 017 403 526,1 017 403 526,19 491 814,0,311 374,311 374,0,59,59,33,0
Bill Evans,1 014 474 312,646 832 581,519 285 960,367 641 731,382 994,249 605,133 389,371,299,206,72
SB Maffija,1 017 425 058,1 001 632 211,1 879 000,15 792 847,359 731,351 593,8 138,146,138,2,8
Libianca,1 017 852 208,998 854 561,768 919 018,18 997 647,492 085,473 935,18 150,27,19,13,8
The Internet,1 019 714 510,1 004 716 952,622 944 794,14 997 558,291 717,290 307,1 410,66,59,39,7
