Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
New West,"1,327,451,018","1,327,451,018","1,321,218,366",0,"1,272,509","1,272,509","1,253,555",0,47,47,45,0
Dropkick Murphys,"1,326,304,777","1,326,304,777","1,308,391,566",0,"329,296","329,296","323,051",0,263,263,252,0
Broederliefde,"1,327,475,881","1,133,099,562","564,856,735","194,376,319","420,190","348,463","178,278","71,727",169,151,88,18
Bvga Beatz,"1,329,054,873",0,0,"1,329,054,873","979,543",0,0,"979,543",66,0,0,66
Afgan,"1,330,875,547","1,236,051,327","1,026,164,470","94,824,220","1,368,169","1,324,176","1,100,031","43,993",100,90,75,10
Salim–Sulaiman,"1,331,511,976","1,282,551,758","20,074,848","48,960,218","1,531,602","1,468,390","12,241","63,212",207,185,18,22
KITSCHKRIEG,"1,332,036,721","467,622,135","868,090","864,414,586","267,989","105,312",474,"162,677",114,32,1,82
Ajaxx,"1,332,727,573",0,0,"1,332,727,573","654,397",0,0,"654,397",90,0,0,90
Hannah Montana,"1,333,027,747","1,329,996,684","1,190,710,889","3,031,063","509,427","508,741","460,225",686,78,77,63,1
Jósean Log,"1,334,211,867","1,253,486,283","1,253,486,283","80,725,584","1,322,594","1,275,017","1,275,017","47,577",32,28,28,4
Freeze corleone,"1,334,790,651","856,927,750","601,717,806","477,862,901","519,877","300,410","223,936","219,467",192,105,62,87
Gazzelle,"1,335,497,427","1,259,070,536","1,102,507,297","76,426,891","872,501","844,191","744,401","28,310",71,66,61,5
Bugzy Malone,"1,335,715,456","871,506,468","557,359,563","464,208,988","288,843","202,990","135,463","85,853",102,89,69,13
Randy,"1,336,002,292","309,839,325","56,192,673","1,026,162,967","906,014","81,436","41,242","824,578",130,59,17,71
ATB,"1,336,778,430","1,316,398,671","367,198,099","20,379,759","535,577","529,356","169,201","6,221",290,280,168,10
Michael Giacchino,"1,336,035,034","1,211,909,874","1,187,754,578","124,125,160","466,496","418,487","411,870","48,009",683,682,649,1
Mc Pedrinho,"1,336,796,627","454,318,888","127,506,215","882,477,739","487,879","209,117","80,114","278,762",179,75,26,104
Ólafur Arnalds,"1,336,911,914","1,171,833,016","787,454,402","165,078,898","413,590","282,759","189,840","130,831",289,248,194,41
Jatin-Lalit,"1,338,751,909","1,270,055,275","13,537,568","68,696,634","1,322,177","1,226,534","12,632","95,643",98,93,9,5
Victoria Monét,"1,340,503,147","1,010,148,805","756,780,509","330,354,342","555,991","495,125","354,944","60,866",94,75,55,19
Białas,"1,341,062,841","721,822,349","55,303,398","619,240,492","497,698","244,888","17,537","252,810",377,237,37,140
Sheryl Crow,"1,341,156,412","1,242,931,671","966,119,768","98,224,741","528,529","503,392","402,728","25,137",252,223,187,29
Código FN,"1,341,993,953","1,041,293,532","459,641,903","300,700,421","1,345,532","1,086,186","235,288","259,346",168,157,136,11
Declan McKenna,"1,343,994,202","1,343,994,202","1,338,442,320",0,"758,450","758,450","757,423",0,54,54,50,0
Shiloh Dynasty,"1,342,102,409","39,040,205",0,"1,303,062,204","915,875","32,888",0,"882,987",309,33,0,276
Jerry Rivera,"1,342,438,222","1,319,575,930","1,304,791,383","22,862,292","773,464","767,643","766,095","5,821",143,135,130,8
J-AX,"1,343,000,371","1,070,467,425","389,570,717","272,532,946","281,289","125,445","33,217","155,844",254,221,104,33
Grupo Arriesgado,"1,344,007,711","1,041,767,288","887,401,687","302,240,423","873,518","668,296","582,491","205,222",275,239,202,36
Snoh Aalegra,"1,344,240,918","1,133,589,482","923,885,007","210,651,436","577,803","486,703","354,954","91,100",74,65,53,9
Rick Astley,"1,344,625,552","1,339,646,577","1,338,410,357","4,978,975","666,710","664,505","664,060","2,205",132,129,126,3
FiNCH,"1,345,306,373","1,029,544,265","429,798,193","315,762,108","1,133,641","946,316","376,690","187,325",149,117,67,32
Tony Effe,"1,345,482,070","894,843,411","324,872,113","450,638,659","1,213,798","751,025","210,352","462,773",66,38,16,28
Marcos & Belutti,"1,345,583,505","1,290,482,635","625,539,193","55,100,870","409,906","379,023","187,408","30,883",228,207,179,21
Håkan Hellström,"1,348,038,375","1,240,978,226","1,166,098,782","107,060,149","217,472","190,222","172,694","27,250",209,203,192,6
Vicentico,"1,348,618,181","1,177,493,690","793,333,710","171,124,491","430,398","378,029","268,675","52,369",124,102,92,22
Frankie Ruiz,"1,350,135,460","1,346,804,539","1,345,772,432","3,330,921","1,550,640","1,546,582","1,546,025","4,058",73,72,71,1
Joe,"1,349,437,242","752,233,153","602,321,144","597,204,089","588,128","258,988","211,998","329,140",196,185,166,11
Damas Gratis,"1,350,336,920","1,265,311,830","575,335,664","85,025,090","505,434","487,701","206,338","17,733",221,215,181,6
Parker McCollum,"1,352,695,541","1,276,536,553","1,270,128,692","76,158,988","858,432","819,964","818,212","38,468",62,59,58,3
REO Speedwagon,"1,351,932,453","1,351,601,897","1,351,601,897","330,556","597,669","597,634","597,634",35,171,169,169,2
Djavan,"1,353,183,802","1,261,536,974","1,217,284,101","91,646,828","953,858","906,160","859,739","47,698",353,340,331,13
Nicky Youre,"1,353,847,727","1,353,847,727","116,785,060",0,"881,059","881,059","62,043",0,17,17,9,0
Michael Bolton,"1,353,398,116","1,192,362,338","1,102,651,307","161,035,778","484,994","458,322","429,343","26,672",222,209,186,13
GOT7,"1,355,169,156","1,355,169,156","1,338,244,566",0,"510,321","510,321","506,728",0,202,202,197,0
Müslüm Gürses,"1,354,296,273","1,342,393,183","1,305,705,997","11,903,090","1,082,581","1,069,797","1,043,983","12,784",514,501,488,13
Janieck,"1,355,276,881","171,375,127","84,768,755","1,183,901,754","482,286","13,677","6,905","468,609",51,18,10,33
Charly García,"1,355,412,126","1,310,504,822","1,124,111,141","44,907,304","676,246","648,236","570,064","28,010",231,226,194,5
Mazzy Star,"1,355,759,692","1,348,605,642","1,341,725,731","7,154,050","1,589,249","1,588,172","1,586,496","1,077",61,60,59,1
Yüzyüzeyken Konuşuruz,"1,359,647,740","1,356,668,530","1,351,769,243","2,979,210","559,705","558,869","557,208",836,58,57,55,1
DJ BOY,"1,356,670,972","442,818,516",0,"913,852,456","1,388,870","453,262",0,"935,608",91,36,0,55
Belo,"1,358,435,699","819,977,924","733,662,508","538,457,775","1,400,266","886,421","822,315","513,845",343,251,226,92
Tenacious D,"1,361,105,469","1,361,105,469","1,360,960,173",0,"345,102","345,102","345,072",0,114,114,113,0
Einár,"1,363,106,890","938,926,507","615,499,489","424,180,383","493,887","303,507","189,917","190,380",78,49,31,29
Lloyd Banks,"1,363,333,994","862,163,558","434,444,156","501,170,436","474,071","232,897","133,878","241,174",218,191,132,27
Commodores,"1,363,529,290","1,363,529,290","1,363,529,290",0,"574,409","574,409","574,409",0,110,110,110,0
Loreen,"1,363,586,014","1,362,959,166","1,305,927,750","626,848","1,037,433","1,037,196","956,588",237,80,79,70,1
Vegedream,"1,363,872,506","1,130,361,724","753,004,991","233,510,782","359,119","264,456","166,501","94,663",122,94,65,28
Omarion,"1,364,000,524","1,110,341,412","413,076,773","253,659,112","359,144","238,486","96,411","120,658",131,110,75,21
Tony Aguirre,"1,364,595,058","283,174,268","46,120,842","1,081,420,790","916,164","152,384","15,428","763,780",185,115,81,70
Aaron May,"1,366,511,397","1,362,313,438","1,342,010,690","4,197,959","1,245,542","1,243,755","1,233,274","1,787",38,36,33,2
Lyodra,"1,366,660,325","1,251,292,034","1,005,252,291","115,368,291","1,925,400","1,623,713","1,481,820","301,687",22,20,14,2
Nessa Barrett,"1,367,413,034","1,358,540,142","1,113,594,695","8,872,892","1,610,904","1,604,610","1,339,162","6,294",74,72,61,2
Young Stoner Life,"1,367,133,294","942,889,354",0,"424,243,940","610,112","541,722",0,"68,390",144,31,0,113
La Sonora Dinamita,"1,367,469,398","1,351,231,480","42,695,016","16,237,918","831,477","826,834","23,386","4,643",261,240,50,21
Zoe Wees,"1,367,535,837","975,885,102","908,966,095","391,650,735","559,669","376,892","364,319","182,777",63,48,38,15
Pyotr Ilyich Tchaikovsky,"1,366,324,033","1,366,324,033",0,0,"848,103","848,103",0,0,925,925,0,0
The Supremes,"1,367,884,346","1,367,725,062","1,354,932,161","159,284","421,050","420,941","417,881",109,147,146,137,1
Bread,"1,368,362,502","1,368,362,502","1,368,362,502",0,"1,009,101","1,009,101","1,009,101",0,74,74,74,0
Espinoza Paz,"1,368,787,173","1,102,056,826","1,068,482,501","266,730,347","1,091,552","994,405","977,394","97,147",254,239,230,15
Boy Wonder CF,"1,368,944,231","724,188,486",0,"644,755,745","731,388","440,956",0,"290,432",131,71,0,60
Callejero Fino,"1,371,738,810","378,154,364","105,578,332","993,584,446","818,046","154,507","52,753","663,539",73,44,15,29
Naughty Boy,"1,371,813,581","1,339,734,238",0,"32,079,343","2,187,162","2,182,995",0,"4,167",72,59,0,13
Lilly Wood and The Prick,"1,375,158,563","1,375,158,563","134,283,974",0,"781,137","781,137","28,407",0,67,67,59,0
Chase Rice,"1,373,935,885","1,356,423,613","1,130,473,790","17,512,272","210,954","208,773","166,880","2,181",124,121,112,3
Jory Boy,"1,372,278,479","722,969,046","82,875,930","649,309,433","887,756","506,292","23,751","381,464",180,83,39,97
Eason Chan,"1,372,375,075","1,371,815,030","1,248,444,213","560,045","935,742","935,634","740,896",108,509,507,481,2
Deepend,"1,375,173,600","456,583,734","47,000,705","918,589,866","425,344","235,758","1,942","189,586",140,90,5,50
Tarkan,"1,375,866,142","1,300,720,640","1,295,763,020","75,145,502","921,270","841,208","837,786","80,062",182,175,160,7
INTERWORLD,"1,375,753,959","1,359,796,679","1,272,277,685","15,957,280","632,683","623,575","583,550","9,108",83,76,51,7
Sachet-Parampara,"1,377,155,031","318,553,415","8,869,977","1,058,601,616","2,482,567","1,520,913",694,"961,654",55,19,4,36
Sebastian Ingrosso,"1,377,350,677","569,165,298","45,790,871","808,185,379","352,495","200,965","32,718","151,530",74,29,10,45
Jorge Drexler,"1,377,117,219","1,076,228,845","899,194,416","300,888,374","476,396","300,874","241,965","175,522",216,183,171,33
Ivete Sangalo,"1,378,621,357","1,011,416,900","564,007,460","367,204,457","798,241","657,501","462,792","140,740",411,335,250,76
Gnarls Barkley,"1,378,793,441","1,378,793,441","1,378,793,441",0,"411,407","411,407","411,407",0,45,45,45,0
BANKS,"1,379,063,043","1,277,643,157","1,148,771,945","101,419,886","250,258","223,695","174,443","26,563",106,97,73,9
FIFTY FIFTY,"1,380,616,527","1,380,616,527","1,358,959,620",0,"691,461","691,461","653,883",0,22,22,21,0
Diana Krall,"1,379,610,523","1,246,285,627","1,036,612,106","133,324,896","407,212","340,230","299,842","66,982",223,202,181,21
Ina Wroldsen,"1,381,129,621","650,251,566","199,386,136","730,878,055","353,793","88,317","17,708","265,476",56,30,20,26
Whitesnake,"1,380,920,979","1,380,920,979","1,357,228,603",0,"447,997","447,997","442,052",0,332,332,278,0
Boosie Badazz,"1,381,848,683","890,245,882","482,354,419","491,602,801","508,712","343,607","218,826","165,105",736,622,407,114
Dusty Springfield,"1,381,955,145","1,379,902,451","1,312,474,851","2,052,694","711,879","711,283","679,511",596,137,135,129,2
Doechii,"1,382,991,854","1,096,972,141","871,172,554","286,019,713","6,164,499","5,236,144","4,663,164","928,355",76,65,52,11
Loredana,"1,385,892,617","1,016,033,425","444,273,716","369,859,192","212,350","130,802","55,815","81,548",84,69,41,15
Slim Jxmmi,"1,386,100,574","747,325",0,"1,385,353,249","154,940",44,0,"154,896",38,1,0,37
Rob Thomas,"1,385,918,793","931,939,467","922,453,905","453,979,326","576,852","372,867","371,685","203,985",89,81,72,8
HVME,"1,386,181,058","557,063,494","538,229,271","829,117,564","298,716","90,924","81,995","207,792",14,12,5,2
Kasabian,"1,386,244,797","1,381,160,718","1,374,171,369","5,084,079","355,509","354,516","351,303",993,164,163,156,1
December Avenue,"1,386,353,682","1,374,992,816","1,113,975,803","11,360,866","1,234,759","1,227,396","1,084,315","7,363",45,42,39,3
First Aid Kit,"1,386,750,353","1,320,397,720","1,309,831,685","66,352,633","328,717","308,502","301,459","20,215",137,129,112,8
Trap Capos,"1,391,233,373","995,181,477",0,"396,051,896","1,205,506","880,929",0,"324,577",23,22,0,1
Dubdogz,"1,392,437,580","777,781,095","122,630,172","614,656,485","635,959","342,769","32,790","293,190",131,83,8,48
D12,"1,392,845,143","1,096,736,531","971,354,353","296,108,612","477,672","381,352","326,244","96,320",76,68,58,8
Billie Holiday,"1,388,131,051","1,362,552,905","1,264,983,396","25,578,146","638,036","631,556","553,010","6,480",406,392,273,14
for KING & COUNTRY,"1,393,456,889","1,367,140,416","1,034,674,431","26,316,473","706,993","692,563","569,903","14,430",187,183,131,4
Cedric Gervais,"1,393,598,639","169,601,567","31,253,108","1,223,997,072","345,676","30,362","6,131","315,314",128,85,23,43
Aaliyah,"1,393,737,818","1,312,355,773","1,186,098,702","81,382,045","567,987","533,727","491,113","34,260",80,73,53,7
Enjambre,"1,393,910,135","1,386,564,884","1,325,949,505","7,345,251","1,614,230","1,605,247","1,345,547","8,983",180,177,175,3
Take That,"1,394,125,330","1,374,083,706","1,300,858,200","20,041,624","517,720","515,633","486,262","2,087",236,234,224,2
Raí Saia Rodada,"1,395,337,924","1,186,838,412","826,062,558","208,499,512","431,636","366,834","154,714","64,802",292,253,199,39
Dolu Kadehi Ters Tut,"1,395,735,394","1,391,976,754","1,061,546,082","3,758,640","962,144","961,308","736,077",836,106,105,93,1
Sabrina Claudio,"1,395,896,976","1,212,680,631","916,078,864","183,216,345","338,259","252,133","201,479","86,126",99,80,71,19
Carlos Baute,"1,398,502,047","1,337,155,567","298,915,147","61,346,480","407,511","386,181","81,122","21,330",134,119,99,15
HRVY,"1,399,366,453","816,180,259","645,468,387","583,186,194","224,272","133,644","109,948","90,628",82,58,35,24
Clinton Kane,"1,400,250,630","1,150,632,778","1,150,632,778","249,617,852","343,856","307,786","307,786","36,070",42,35,35,7
EARTHGANG,"1,401,704,261","581,059,100","257,645,710","820,645,161","311,695","100,197","28,170","211,498",173,121,68,52
A$AP Mob,"1,401,804,743","1,389,945,178","15,159,332","11,859,565","199,959","199,368","1,172",591,35,34,4,1
Ele A El Dominio,"1,402,231,744","639,555,992","465,622,218","762,675,752","1,058,698","704,631","591,817","354,067",153,72,52,81
Eddie Santiago,"1,402,156,605","1,393,386,816","1,393,386,816","8,769,789","1,269,312","1,265,415","1,265,415","3,897",105,97,97,8
WWE,"1,396,000,107","1,396,000,107","3,453,782",0,"783,347","783,347",678,0,483,483,1,0
The Outfield,"1,403,771,160","1,403,771,160","1,387,387,026",0,"822,469","822,469","783,957",0,79,79,78,0
Ace of Base,"1,402,524,812","1,401,286,637","1,382,888,845","1,238,175","1,071,047","1,070,513","1,063,945",534,154,151,126,3
Justin Moore,"1,403,806,719","1,313,476,993","1,197,111,670","90,329,726","373,871","345,886","272,344","27,985",114,108,96,6
Francesco Yates,"1,404,641,819","42,295,861","41,774,618","1,362,345,958","619,768","4,842","4,829","614,926",28,16,15,12
Nardo Wick,"1,404,931,115","1,233,535,007","587,451,315","171,396,108","562,229","488,457","227,825","73,772",65,45,33,20
Chris Lake,"1,405,037,559","741,634,702","90,934,399","663,402,857","925,924","448,041","17,662","477,883",125,76,19,49
MHD,"1,409,069,116","1,103,875,351","812,137,076","305,193,765","634,636","477,548","392,555","157,088",90,64,46,26
Jonna Fraser,"1,406,469,102","687,959,320","163,355,777","718,509,782","413,884","231,519","74,937","182,365",237,143,61,94
AOA,"1,412,963,340","303,800,985","300,650,439","1,109,162,355","421,603","142,463","141,744","279,140",78,77,75,1
Iyaz,"1,413,185,790","1,322,900,015","1,272,707,909","90,285,775","944,172","916,196","891,088","27,976",35,26,16,9
Hillsong Young & Free,"1,413,101,232","1,353,188,943","336,260,430","59,912,289","356,234","343,992","98,571","12,242",168,164,56,4
La Joaqui,"1,415,434,701","595,616,084","104,726,365","819,818,617","1,122,232","497,217","97,328","625,015",100,67,33,33
Kendo Kaponi,"1,416,077,852","272,210,298","109,043,345","1,143,867,554","528,193","90,412","32,117","437,781",85,45,22,40
Baby Tate,"1,415,483,565","430,600,586","286,640,394","984,882,979","632,097","151,897","108,824","480,200",107,75,57,32
Lanek,"1,416,466,584","38,955,389","4,598,943","1,377,511,195","596,656","7,377","1,252","589,279",214,27,6,187
Our Last Night,"1,416,900,465","1,388,455,435","1,256,015,295","28,445,030","283,013","275,813","247,218","7,200",244,241,223,3
Fuego,"1,418,052,472","1,172,438,996","419,616,695","245,613,476","350,575","270,636","118,895","79,939",178,128,81,50
R. City,"1,418,993,310","1,195,068,554","32,763,429","223,924,756","677,394","665,530","3,196","11,864",33,18,11,15
Tujamo,"1,418,426,131","1,023,268,660","551,789,368","395,157,471","245,440","179,916","100,460","65,524",138,113,36,25
Lauren Spencer Smith,"1,422,007,601","1,422,007,601","1,384,232,928",0,"937,458","937,458","915,708",0,53,53,52,0
Shindy,"1,421,968,745","1,203,830,643","862,070,336","218,138,102","403,841","323,423","264,937","80,418",124,97,76,27
R.K.M & Ken-Y,"1,419,321,147","997,387,314","783,777,844","421,933,833","809,708","715,140","603,670","94,568",113,93,60,20
LX,"1,422,126,123","630,853,120","104,671,386","791,273,003","500,157","162,487","58,826","337,670",155,106,23,49
Ati,"1,422,364,199","1,247,584,477","1,076,851,461","174,779,722","3,306,026","3,223,493","3,102,151","82,533",83,67,51,16
Anson Seabra,"1,422,724,763","1,417,445,401","1,408,527,792","5,279,362","419,049","415,620","414,973","3,429",68,67,65,1
Jim Croce,"1,422,414,792","1,422,414,792","1,422,414,792",0,"1,045,327","1,045,327","1,045,327",0,97,97,97,0
Benny Benassi,"1,423,259,878","798,239,517","21,076,637","625,020,361","602,225","276,654","3,472","325,571",232,132,21,100
Retrib,"1,423,336,831","1,177,595,354","128,989,241","245,741,477","9,230",0,0,"9,230",51,36,9,15
Stevie Nicks,"1,424,997,570","1,113,727,703","967,928,730","311,269,867","680,114","574,133","476,851","105,981",214,197,186,17
wave to earth,"1,426,103,510","1,419,844,361","1,419,844,361","6,259,149","2,887,792","2,869,307","2,869,307","18,485",36,35,35,1
Belanova,"1,425,414,869","1,422,288,659","1,415,051,250","3,126,210","1,255,747","1,254,614","1,251,778","1,133",109,107,100,2
Robyn,"1,426,177,485","1,197,987,976","1,032,422,352","228,189,509","400,333","266,855","229,625","133,478",177,150,90,27
IZA,"1,426,236,856","1,165,640,568","739,257,687","260,596,288","464,192","298,738","193,197","165,454",73,49,28,24
Jadakiss,"1,426,399,378","270,308,528","71,073,412","1,156,090,850","448,721","76,928","23,242","371,793",246,113,40,133
Killer Mike,"1,427,315,440","187,713,843","49,424,945","1,239,601,597","362,705","103,828","15,393","258,877",190,86,46,104
Sonder,"1,428,348,712","1,428,348,712","1,260,760,966",0,"1,733,731","1,733,731","1,603,192",0,16,16,15,0
El Makabelico,"1,428,465,569","1,428,157,720","1,416,315,251","307,849","1,699,290","1,699,290","1,659,057",0,160,159,156,1
Camilo Sesto,"1,429,931,596","1,429,931,596","1,389,120,533",0,"826,525","826,525","806,151",0,233,233,223,0
Bernadya,"1,430,931,231","1,410,928,794","1,410,928,794","20,002,437","3,626,882","3,480,096","3,480,096","146,786",15,14,14,1
Chitãozinho & Xororó,"1,430,792,301","1,120,750,647","660,999,365","310,041,654","878,177","720,134","505,327","158,043",425,375,252,50
Starship,"1,433,647,653","1,433,647,653","1,433,133,698",0,"681,995","681,995","681,352",0,44,44,42,0
Arjan Dhillon,"1,434,107,627","1,399,555,794","1,104,203,447","34,551,833","2,053,054","2,021,496","1,714,502","31,558",162,158,116,4
Barry White,"1,438,142,604","1,395,361,732","1,384,199,468","42,780,872","756,483","738,231","733,798","18,252",235,231,212,4
Casting Crowns,"1,437,179,764","1,437,179,764","1,263,923,825",0,"555,778","555,778","443,041",0,218,218,194,0
Malik Montana,"1,439,102,369","1,011,970,634","321,569,214","427,131,735","778,211","525,767","174,342","252,444",202,136,50,66
Bleachers,"1,442,858,714","1,128,527,474","992,657,786","314,331,240","1,078,267","518,856","481,846","559,411",143,138,110,5
El Jordan 23,"1,447,137,908","1,009,278,675","216,903,408","437,859,233","798,736","550,221","64,956","248,515",92,69,27,23
Mijares,"1,445,114,973","1,313,772,434","1,190,217,799","131,342,539","612,359","575,785","527,453","36,574",310,287,256,23
The Ronettes,"1,447,868,399","1,447,745,570","1,447,745,570","122,829","575,998","575,961","575,961",37,56,55,55,1
Edward Sharpe & The Magnetic Zeros,"1,449,001,861","1,449,001,861","1,449,001,861",0,"419,346","419,346","419,346",0,69,69,69,0
MadMan,"1,449,517,363","753,653,330","395,356,386","695,864,033","287,681","142,445","72,306","145,236",156,82,48,74
Gibbs,"1,450,462,948","539,399,439","141,014,496","911,063,509","1,338,059","576,206","78,914","761,853",244,42,13,202
Brendon Urie,"1,450,594,947",0,0,"1,450,594,947","423,772",0,0,"423,772",5,0,0,5
OBOY,"1,450,719,962","1,135,767,036","1,075,007,195","314,952,926","645,033","525,242","487,803","119,791",57,49,46,8
Dan Caplen,"1,451,023,442","61,511,945","32,783,628","1,389,511,497","293,008","4,465","3,091","288,543",47,24,11,23
Hikaru Utada,"1,451,065,973","1,436,337,525","1,288,733,431","14,728,448","1,101,068","1,088,003","1,037,341","13,065",178,172,150,6
Josman,"1,451,447,772","1,274,631,270","1,191,348,264","176,816,502","996,363","770,717","733,046","225,646",138,111,98,27
Omar Courtz,"1,452,365,572","855,290,796","251,156,454","597,074,776","8,916,186","3,398,143","906,582","5,518,043",83,44,26,39
La Quinta Estacion,"1,452,451,666","1,452,451,666","1,384,937,608",0,"906,421","906,421","884,003",0,81,81,78,0
The Cars,"1,454,695,263","1,454,695,263","1,454,397,765",0,"648,957","648,957","648,771",0,109,109,108,0
Imogen Heap,"1,453,868,336","691,527,290","682,561,151","762,341,046","4,265,611","2,209,333","2,205,651","2,056,278",157,147,132,10
Cultura Profética,"1,453,344,753","1,289,282,952","1,270,088,983","164,061,801","472,098","392,918","380,567","79,180",174,169,162,5
Hopsin,"1,455,304,487","1,294,834,706","1,125,764,599","160,469,781","212,855","171,438","142,731","41,417",137,127,107,10
James Brown,"1,455,254,791","1,432,895,902","1,074,649,257","22,358,889","540,444","532,094","418,282","8,350",442,429,364,13
Quebonafide,"1,457,675,459","792,362,812","194,597,984","665,312,647","690,525","386,236","75,946","304,289",133,80,23,53
Paloma Mami,"1,457,848,449","750,361,143","728,616,222","707,487,306","444,839","174,350","164,934","270,489",30,20,18,10
Lasso,"1,458,036,998","1,287,506,631","723,616,051","170,530,367","1,413,890","763,558","497,923","650,332",95,78,62,17
Jamule,"1,458,594,988","967,083,435","612,892,081","491,511,553","483,438","255,310","119,650","228,128",135,99,69,36
BLOK3,"1,458,669,282","1,458,669,282","1,387,008,767",0,"2,624,663","2,624,663","2,573,013",0,32,32,30,0
AK AUSSERKONTROLLE,"1,459,901,349","1,242,253,864","696,534,836","217,647,485","495,764","434,418","268,419","61,346",141,123,85,18
The Animals,"1,460,046,145","1,460,046,145","1,452,384,119",0,"644,028","644,028","642,311",0,122,122,119,0
Daughter,"1,460,060,013","1,460,060,013","1,457,526,669",0,"370,341","370,341","370,280",0,73,73,71,0
"Hank Williams, Jr.","1,460,531,095","1,395,892,903","1,300,891,634","64,638,192","912,773","834,198","794,242","78,575",310,295,268,15
Binomio de Oro de América,"1,460,779,925","1,449,016,876","1,449,016,876","11,763,049","1,287,595","1,278,165","1,278,165","9,430",108,104,104,4
Nando Reis,"1,461,454,661","1,104,349,219","691,786,779","357,105,442","513,172","345,967","201,052","167,205",363,298,241,65
Gorgon City,"1,462,590,353","1,138,045,166","197,110,979","324,545,187","259,253","194,349","59,568","64,904",229,176,42,53
Tay-K,"1,463,494,272","1,463,494,272","1,189,562,484",0,"429,712","429,712","343,823",0,10,10,8,0
Bishop Briggs,"1,464,309,847","1,364,387,505","1,332,139,456","99,922,342","480,408","465,144","455,696","15,264",88,79,60,9
Fabri Fibra,"1,465,544,907","933,257,673","563,922,221","532,287,234","483,237","322,577","208,697","160,660",313,257,186,56
Neck Deep,"1,466,374,015","1,460,744,019","1,378,972,039","5,629,996","624,357","618,955","582,815","5,402",93,92,89,1
Dayglow,"1,467,236,741","1,466,556,592","1,465,280,788","680,149","447,803","447,207","446,991",596,46,45,41,1
Helene Fischer,"1,468,526,052","1,331,787,336","1,125,262,498","136,738,716","678,985","634,611","574,479","44,374",529,517,416,12
Zeeba,"1,468,988,955","137,924,249","98,780,381","1,331,064,706","440,311","49,077","40,970","391,234",78,49,34,29
ANNA,"1,474,329,223","820,219,468","385,816,365","654,109,755","1,658,117","1,180,896","526,631","477,221",53,38,18,15
Joe Cocker,"1,473,400,973","1,401,561,615","1,039,792,985","71,839,358","562,442","543,026","372,407","19,416",319,314,304,5
ROZES,"1,477,798,963","130,609,758","95,206,171","1,347,189,205","309,306","13,117","10,377","296,189",73,48,29,25
Last Child,"1,478,547,590","1,459,319,769","1,262,199,262","19,227,821","1,928,551","1,912,643","1,636,353","15,908",31,30,28,1
Social House,"1,481,545,673","588,720,484","68,914,086","892,825,189","467,043","130,138","7,986","336,905",12,9,8,3
Eric Bellinger,"1,478,715,451","1,277,992,896","387,437,754","200,722,555","365,739","327,714","138,957","38,025",402,341,199,61
Yung Lean,"1,482,180,442","1,289,976,744","1,069,704,600","192,203,698","665,038","490,805","381,837","174,233",154,132,94,22
Russell Dickerson,"1,483,036,069","1,383,545,629","1,195,670,596","99,490,440","225,374","201,517","164,573","23,857",71,63,57,8
Faith Evans,"1,485,204,513","433,690,993","347,005,738","1,051,513,520","522,707","146,639","134,118","376,068",170,141,97,29
Hiphop Tamizha,"1,485,747,551","1,360,281,287","297,778,896","125,466,264","1,282,046","1,167,257","211,245","114,789",164,149,53,15
Ben E. King,"1,486,885,464","1,486,015,590","1,485,500,536","869,874","635,430","635,118","632,498",312,99,95,93,4
The Temper Trap,"1,489,619,094","1,173,857,313","1,048,663,333","315,761,781","1,102,833","724,963","543,744","377,870",88,85,55,3
Yuuri,"1,487,944,039","1,482,880,874","1,480,443,391","5,063,165","885,711","880,823","879,189","4,888",52,51,50,1
Phantogram,"1,491,369,457","1,472,095,029","1,055,763,345","19,274,428","730,932","717,288","519,666","13,644",96,87,75,9
Rosa Linn,"1,492,448,856","1,480,152,572","1,361,491,450","12,296,284","642,582","568,841","533,125","73,741",20,14,5,6
Oruam,"1,492,801,457","410,272,284",0,"1,082,529,173","2,667,046","1,766,632",0,"900,414",37,9,0,28
Ikky,"1,493,949,680","12,222,186","2,170,813","1,481,727,494","1,864,722","4,256",609,"1,860,466",40,7,3,33
Crowded House,"1,493,528,612","1,493,528,612","1,492,732,688",0,"1,305,098","1,305,098","1,304,854",0,177,177,174,0
Mura Masa,"1,494,247,538","1,356,484,977","187,073,671","137,762,561","278,940","242,919","20,169","36,021",112,81,33,31
Rachel Platten,"1,494,685,430","1,488,646,686","1,470,368,963","6,038,744","364,927","364,160","359,286",767,58,55,51,3
Pedro Lotto,"1,494,338,361","21,607,620",0,"1,472,730,741","1,111,719","20,909",0,"1,090,810",177,18,0,159
Aimer,"1,496,064,431","1,367,153,808","1,306,352,090","128,910,623","533,416","484,124","461,016","49,292",233,212,203,21
John Mellencamp,"1,495,859,240","1,495,859,240","1,466,229,382",0,"557,782","557,782","548,145",0,268,268,254,0
Elvis Crespo,"1,496,540,549","959,163,313","767,870,710","537,377,236","868,112","527,811","438,553","340,301",195,180,109,15
Interpol,"1,496,585,569","1,496,585,569","1,483,903,652",0,"409,225","409,225","407,959",0,167,167,147,0
MC Joãozinho VT,"1,496,923,531","475,522,370","10,484,862","1,021,401,161","3,004,292","1,663,668",673,"1,340,624",189,65,6,124
