Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
Jain,"1,000,259,177","1,000,259,177","893,594,696",0,"316,601","316,601","213,966",0,46,46,41,0
Sam Tinnesz,"1,000,663,447","786,848,569","310,194,851","213,814,878","501,821","375,297","149,405","126,524",132,81,47,51
Aaron Smith,"1,000,725,147","1,000,725,147",0,0,"296,298","296,298",0,0,22,22,0,0
Like Mike,"1,001,298,940","51,966,409","24,153,814","949,332,531","882,356","7,713",638,"874,643",96,58,17,38
Alta Consigna,"1,001,401,092","997,540,573","994,643,727","3,860,519","546,510","545,244","537,535","1,266",202,201,195,1
twocolors,"1,001,659,175","934,232,929","574,522,034","67,426,246","527,021","508,109","194,323","18,912",82,57,16,25
Jack Stauber,"1,002,416,416","1,002,416,416","1,002,416,416",0,"257,827","257,827","257,827",0,65,65,65,0
Nate Smith,"1,002,540,398","924,855,574","876,306,812","77,684,824","1,318,901","1,041,448","946,656","277,453",69,64,57,5
Tinlicker,"1,002,483,324","892,999,508","66,268,570","109,483,816","555,471","498,619","22,308","56,852",169,148,68,21
Electric Callboy,"1,002,794,254","939,229,430","768,405,076","63,564,824","624,784","484,691","408,653","140,093",130,128,111,2
Ruelle,"1,002,938,313","828,134,749","784,731,283","174,803,564","404,358","349,262","333,888","55,096",80,69,65,11
D'Angelo,"1,003,310,357","794,634,247","780,172,824","208,676,110","311,992","249,606","244,482","62,386",113,102,87,11
VillaBanks,"1,004,121,955","759,993,106","164,400,902","244,128,849","456,878","350,776","91,684","106,102",158,119,34,39
Die Toten Hosen,"1,002,734,549","992,601,001","982,210,355","10,133,548","339,174","331,292","329,812","7,882",615,602,580,13
San Holo,"1,004,235,354","913,528,699","556,794,393","90,706,655","131,308","124,488","51,477","6,820",203,190,53,13
Lumi Athena,"1,004,439,358","989,419,361","321,286,244","15,019,997","960,823","946,962","307,448","13,861",72,68,42,4
Krono,"1,004,504,191","19,594,005","460,938","984,910,186","307,737","1,642",25,"306,095",33,24,1,9
Charly Black,"1,005,451,393","935,863,789","443,624,647","69,587,604","371,473","355,618","184,184","15,855",89,68,33,21
Steppenwolf,"1,006,214,782","1,005,107,978","999,304,336","1,106,804","370,695","370,085","366,911",610,84,77,73,7
Pi’erre Bourne,"1,004,622,713","676,737,044","434,208,349","327,885,669","339,919","232,843","128,711","107,076",217,83,76,134
Azealia Banks,"1,007,702,264","898,523,539","570,697,817","109,178,725","491,304","398,900","259,096","92,404",79,67,58,12
SEKAI NO OWARI,"1,006,931,916","989,740,635","989,740,635","17,191,281","602,752","600,359","600,359","2,393",119,114,114,5
Alter Bridge,"1,007,722,171","1,007,722,171","985,045,308",0,"324,795","324,795","318,594",0,156,156,135,0
Cashmere Cat,"1,007,910,620","830,964,870","84,067,583","176,945,750","160,365","92,436","7,732","67,929",39,35,16,4
Belly,"1,008,537,869","760,801,011","181,996,119","247,736,858","144,515","99,346","22,953","45,169",101,93,48,8
The Hollies,"1,008,790,266","1,008,790,266","1,008,790,266",0,"435,306","435,306","435,306",0,137,137,137,0
Heijan,"1,009,268,627","748,978,630","160,893,751","260,289,997","765,690","516,000","116,371","249,690",50,37,12,13
Pat Benatar,"1,009,724,698","1,009,187,606","1,009,187,606","537,092","494,523","494,191","494,191",332,112,111,111,1
Libianca,"1,009,793,098","991,271,437","763,425,448","18,521,661","500,054","480,433","354,902","19,621",26,19,13,7
SB Maffija,"1,011,668,371","996,005,776","1,872,336","15,662,595","371,315","362,588",425,"8,727",146,138,2,8
Rob $tone,"1,012,109,657","1,012,109,657","19,402,790",0,"303,548","303,548","5,326",0,59,59,33,0
M Huncho,"1,011,522,529","727,610,110","458,726,139","283,912,419","347,046","270,515","180,789","76,531",156,128,78,28
Jubël,"1,012,389,079","1,003,226,945","322,130,033","9,162,134","238,683","235,752","57,730","2,931",54,52,22,2
That Mexican OT,"1,013,152,459","938,268,464","404,496,508","74,883,995","1,194,400","1,046,271","455,933","148,129",167,134,58,33
Alexandre Desplat,"1,013,087,926","1,012,790,241","695,195,383","297,685","294,668","294,604","238,321",64,547,546,424,1
Mudvayne,"1,014,572,463","1,014,572,463","1,013,474,435",0,"298,986","298,986","298,711",0,107,107,105,0
Trettmann,"1,014,551,084","778,683,243","17,397,687","235,867,841","351,245","255,316","37,652","95,929",95,71,5,24
The Internet,"1,014,788,596","1,000,071,628","619,967,459","14,716,968","270,056","268,730","173,384","1,326",65,59,39,6
Biffy Clyro,"1,015,940,337","1,015,222,830","1,015,222,830","717,507","183,412","183,300","183,300",112,281,280,280,1
Lars Winnerbäck,"1,015,700,147","997,207,747","907,090,255","18,492,400","167,176","156,406","141,981","10,770",307,301,295,6
Charles Aznavour,"1,014,840,951","1,007,358,428","978,532,511","7,482,523","699,684","686,824","672,191","12,860",395,384,347,11
Unknown Mortal Orchestra,"1,016,005,388","828,097,053","824,677,977","187,908,335","230,794","140,515","140,403","90,279",91,81,79,10
"Sergio Vega ""El Shaka""","1,016,048,852","1,013,396,970","1,013,396,970","2,651,882","931,171","929,693","929,693","1,478",154,153,153,1
Elisa,"1,016,095,274","708,866,218","469,566,111","307,229,056","475,856","381,515","233,537","94,341",247,219,196,28
Gabrielle Aplin,"1,016,275,823","971,422,461","749,979,672","44,853,362","123,392","114,735","90,661","8,657",167,142,123,25
Dr. Dog,"1,016,891,267","1,016,891,267","1,016,120,586",0,"464,880","464,880","463,502",0,180,180,179,0
LXNGVX,"1,017,205,212","1,008,630,881","389,388,443","8,574,331","1,496,798","1,489,731","719,421","7,067",104,97,39,7
Jack Stauber's Micropop,"1,017,833,471","1,017,833,471","1,017,833,471",0,"554,218","554,218","554,218",0,122,122,122,0
Bloodhound Gang,"1,018,083,773","1,018,083,773","1,007,672,814",0,"449,127","449,127","444,452",0,80,80,71,0
Richard Marx,"1,018,491,079","1,016,637,824","993,034,630","1,853,255","519,345","518,678","510,149",667,161,159,154,2
Victor Leksell,"1,019,367,286","771,504,578","692,045,371","247,862,708","498,867","293,294","263,560","205,573",38,29,26,9
Ben Harper,"1,019,999,934","747,438,290","613,060,289","272,561,644","278,008","173,405","146,779","104,603",244,228,137,16
Sub Focus,"1,020,805,693","863,277,381","242,893,636","157,528,312","763,039","502,971","152,198","260,068",156,132,51,24
RL Grime,"1,021,994,989","765,786,663","104,225,810","256,208,326","348,889","120,343","14,644","228,546",114,108,42,6
Little Sis Nora,"1,022,172,960","82,776,254","71,765,077","939,396,706","313,542","44,948","35,451","268,594",50,16,10,34
Sabino,"1,023,491,823","904,841,696","673,020,541","118,650,127","467,085","388,903","297,754","78,182",118,103,84,15
Mark Knopfler,"1,023,555,703","958,751,794","822,702,914","64,803,909","410,413","380,560","326,268","29,853",313,295,257,18
Freya Ridings,"1,023,773,743","975,100,526","895,060,073","48,673,217","500,411","473,041","281,683","27,370",74,64,55,10
Jessi Uribe,"1,024,412,199","717,037,518","539,896,922","307,374,681","993,423","562,229","427,194","431,194",116,88,71,28
Elodie,"1,024,459,620","617,701,378","430,761,088","406,758,242","569,388","379,581","223,183","189,807",84,69,53,15
Fleurie,"1,025,190,078","313,621,005","102,841,055","711,569,073","328,115","98,949","31,066","229,166",103,56,45,47
Björk,"1,024,522,609","1,009,707,354","885,296,411","14,815,255","510,330","505,204","459,785","5,126",358,345,277,13
Woodkid,"1,025,589,276","956,653,022","854,337,766","68,936,254","979,594","976,619","490,042","2,975",75,72,56,3
Three 6 Mafia,"1,025,086,998","869,779,811","527,565,050","155,307,187","461,070","388,678","247,158","72,392",336,277,183,59
Montez,"1,025,627,680","821,662,512","677,439,785","203,965,168","642,424","533,493","425,685","108,931",103,91,73,12
